id,srt_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,20000,"Achieve a total score of 20,000.",12,94002,5000,0,0,0,0,0,0,0,0,0,0,0,0
2,40000,"Achieve a total score of 40,000.",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
3,60000,"Achieve a total score of 60,000.",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
4,80000,"Achieve a total score of 80,000.",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
5,100000,"Achieve a total score of 100,000.",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
6,120000,"Achieve a total score of 120,000.",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
7,140000,"Achieve a total score of 140,000.",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
8,160000,"Achieve a total score of 160,000.",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
9,180000,"Achieve a total score of 180,000.",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
10,200000,"Achieve a total score of 200,000.",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
11,220000,"Achieve a total score of 220,000.",12,94002,55000,0,0,0,0,0,0,0,0,0,0,0,0
12,240000,"Achieve a total score of 240,000.",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
13,260000,"Achieve a total score of 260,000.",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
14,280000,"Achieve a total score of 280,000.",12,94002,45000,0,0,0,0,0,0,0,0,0,0,0,0
15,300000,"Achieve a total score of 300,000.",15,11001039,1,8,91002,150,2,23001,10,0,0,0,0,0,0
