stationary_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_value_4,condition_value_5,condition_value_6,condition_value_7,condition_value_8,condition_value_9,condition_value_10,condition_num,mission_reward_id,system_id,start_time,end_time,min_level,max_level,title_color_id,visible_flag
21001001,20,201,"Clear Main Quest 1-1 (NORMAL)",1001,11001001,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001002,20,201,"Clear Main Quest 1-2 (NORMAL)",1001,11001002,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001003,20,201,"Clear Main Quest 1-3 (NORMAL)",1001,11001003,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001004,20,201,"Clear Main Quest 1-4 (NORMAL)",1001,11001004,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001005,20,201,"Clear Main Quest 1-5 (NORMAL)",1001,11001005,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001006,20,201,"Clear Main Quest 1-6 (NORMAL)",1001,11001006,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001007,20,201,"Clear Main Quest 1-7 (NORMAL)",1001,11001007,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001008,20,201,"Clear Main Quest 1-8 (NORMAL)",1001,11001008,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001009,20,201,"Clear Main Quest 1-9 (NORMAL)",1001,11001009,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001010,20,201,"Clear Main Quest 1-10 (NORMAL)",1001,11001010,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001011,20,201,"Clear Main Quest 2-1 (NORMAL)",1001,11002001,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001012,20,201,"Clear Main Quest 2-2 (NORMAL)",1001,11002002,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001013,20,201,"Clear Main Quest 2-3 (NORMAL)",1001,11002003,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001014,20,201,"Clear Main Quest 2-4 (NORMAL)",1001,11002004,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001015,20,201,"Clear Main Quest 2-5 (NORMAL)",1001,11002005,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001016,20,201,"Clear Main Quest 2-6 (NORMAL)",1001,11002006,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001017,20,201,"Clear Main Quest 2-7 (NORMAL)",1001,11002007,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001018,20,201,"Clear Main Quest 2-8 (NORMAL)",1001,11002008,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001019,20,201,"Clear Main Quest 2-9 (NORMAL)",1001,11002009,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001020,20,201,"Clear Main Quest 2-10 (NORMAL)",1001,11002010,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001021,20,201,"Clear Main Quest 2-11 (NORMAL)",1001,11002011,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001022,20,201,"Clear Main Quest 2-12 (NORMAL)",1001,11002012,0,0,0,0,0,0,0,0,0,1,21001001,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001023,20,201,"Clear Main Quest 3-1 (NORMAL)",1001,11003001,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001024,20,201,"Clear Main Quest 3-2 (NORMAL)",1001,11003002,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001025,20,201,"Clear Main Quest 3-3 (NORMAL)",1001,11003003,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001026,20,201,"Clear Main Quest 3-4 (NORMAL)",1001,11003004,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001027,20,201,"Clear Main Quest 3-5 (NORMAL)",1001,11003005,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001028,20,201,"Clear Main Quest 3-6 (NORMAL)",1001,11003006,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001029,20,201,"Clear Main Quest 3-7 (NORMAL)",1001,11003007,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001030,20,201,"Clear Main Quest 3-8 (NORMAL)",1001,11003008,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001031,20,201,"Clear Main Quest 3-9 (NORMAL)",1001,11003009,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001032,20,201,"Clear Main Quest 3-10 (NORMAL)",1001,11003010,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001033,20,201,"Clear Main Quest 3-11 (NORMAL)",1001,11003011,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001034,20,201,"Clear Main Quest 3-12 (NORMAL)",1001,11003012,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001035,20,201,"Clear Main Quest 4-1 (NORMAL)",1001,11004001,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001036,20,201,"Clear Main Quest 4-2 (NORMAL)",1001,11004002,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001037,20,201,"Clear Main Quest 4-3 (NORMAL)",1001,11004003,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001038,20,201,"Clear Main Quest 4-4 (NORMAL)",1001,11004004,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001039,20,201,"Clear Main Quest 4-5 (NORMAL)",1001,11004005,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001040,20,201,"Clear Main Quest 4-6 (NORMAL)",1001,11004006,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001041,20,201,"Clear Main Quest 4-7 (NORMAL)",1001,11004007,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001042,20,201,"Clear Main Quest 4-8 (NORMAL)",1001,11004008,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001043,20,201,"Clear Main Quest 4-9 (NORMAL)",1001,11004009,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001044,20,201,"Clear Main Quest 4-10 (NORMAL)",1001,11004010,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001045,20,201,"Clear Main Quest 4-11 (NORMAL)",1001,11004011,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
21001046,20,201,"Clear Main Quest 4-12 (NORMAL)",1001,11004012,0,0,0,0,0,0,0,0,0,1,21001002,101,"2015/04/01 15:00:00","2030/04/01 14:59:59",0,0,0,1
