chara_id,offset,size,softness
111,0.0,700.0,50.0
113,0.0,700.0,50.0
131,0.0,800.0,50.0
211,0.0,700.0,50.0
213,0.0,700.0,50.0
231,0.0,800.0,50.0
311,0.0,700.0,50.0
312,-25.0,460.0,50.0
411,0.0,700.0,50.0
412,0.0,700.0,50.0
413,0.0,700.0,50.0
414,0.0,600.0,0.0
415,0.0,460.0,50.0
416,0.0,460.0,50.0
417,0.0,700.0,50.0
418,0.0,700.0,50.0
421,0.0,700.0,50.0
511,30.0,700.0,50.0
611,100.0,700.0,50.0
711,100.0,700.0,50.0
712,0.0,800.0,50.0
811,50.0,500.0,50.0
812,0.0,1200.0,50.0
813,0.0,800.0,50.0
911,-65.0,600.0,50.0
912,0.0,1200.0,50.0
913,0.0,800.0,50.0
914,0.0,800.0,50.0
1011,0.0,800.0,50.0
1031,0.0,800.0,50.0
1111,0.0,800.0,50.0
1131,0.0,800.0,50.0
1211,-60.0,590.0,50.0
1212,0.0,460.0,50.0
1213,0.0,460.0,50.0
1231,0.0,800.0,50.0
1331,-50.0,700.0,50.0
1411,0.0,800.0,50.0
1412,0.0,800.0,50.0
1421,0.0,800.0,50.0
1511,100.0,700.0,50.0
1512,100.0,700.0,50.0
1521,100.0,700.0,50.0
1611,-50.0,700.0,150.0
1612,-50.0,700.0,150.0
1613,-50.0,700.0,150.0
1614,0.0,800.0,50.0
1711,0.0,800.0,50.0
1811,0.0,800.0,50.0
1911,0.0,800.0,50.0
2011,0.0,800.0,50.0
2111,0.0,800.0,50.0
2211,0.0,800.0,50.0
2311,0.0,800.0,50.0
2411,0.0,800.0,50.0
2511,0.0,970.0,20.0
2512,0.0,800.0,50.0
2611,0.0,455.0,0.0
2711,-45.0,525.0,50.0
2712,-45.0,525.0,50.0
2811,-30.0,1190.0,125.0
2812,-30.0,1190.0,125.0
2911,0.0,460.0,0.0
2931,0.0,600.0,50.0
3011,0.0,460.0,0.0
3031,0.0,600.0,50.0
3111,0.0,460.0,0.0
3131,0.0,600.0,50.0
3211,-20.0,460.0,0.0
3311,-40.0,600.0,50.0
3411,-30.0,460.0,50.0
3511,-60.0,700.0,50.0
3911,-30.0,800.0,50.0
4011,0.0,800.0,30.0
4111,0.0,800.0,30.0
4211,0.0,600.0,50.0
4311,0.0,800.0,50.0
4312,0.0,800.0,50.0
4411,0.0,800.0,50.0
4511,10.0,700.0,60.0
4512,10.0,700.0,60.0
4513,10.0,700.0,60.0
4611,0.0,460.0,50.0
4711,-30.0,650.0,70.0
4811,0.0,620.0,70.0
4911,0.0,800.0,50.0
5011,0.0,800.0,50.0
5012,0.0,800.0,50.0
5013,0.0,800.0,50.0
5111,0.0,800.0,50.0
5112,0.0,800.0,50.0
5211,0.0,800.0,50.0
5212,0.0,800.0,50.0
5511,0.0,800.0,50.0
5611,0.0,700.0,50.0
5612,0.0,800.0,50.0
5613,-60.0,590.0,50.0
5614,0.0,460.0,50.0
5615,0.0,700.0,50.0
5616,0.0,700.0,50.0
5711,0.0,800.0,50.0
5712,0.0,800.0,50.0
5811,0.0,800.0,50.0
5812,0.0,800.0,50.0
5911,0.0,800.0,50.0
5912,0.0,800.0,50.0
6011,0.0,800.0,50.0
6012,0.0,530.0,75.0
11411,-15.0,730.0,0.0
13311,-45.0,715.0,60.0
100011,-60.0,750.0,45.0
100012,-60.0,750.0,45.0
100099,-60.0,750.0,45.0
100111,1.5,615.0,45.0
100112,1.5,615.0,45.0
100113,40.0,700.0,45.0
100131,0.0,700.0,50.0
100132,0.0,700.0,50.0
100211,0.0,800.0,50.0
100212,0.0,800.0,50.0
100231,0.0,700.0,50.0
100232,0.0,700.0,50.0
100311,0.0,600.0,45.0
100312,-120.0,600.0,45.0
100313,-120.0,600.0,45.0
100331,-70.0,650.0,100.0
100332,0.0,700.0,50.0
100411,-65.0,650.0,60.0
100431,0.0,700.0,50.0
100432,0.0,700.0,50.0
100511,40.0,600.0,50.0
100531,0.0,800.0,50.0
100611,-50.0,550.0,50.0
100631,0.0,700.0,50.0
100632,0.0,700.0,50.0
100711,-60.0,800.0,85.0
100731,-95.0,700.0,50.0
100811,-40.0,700.0,50.0
100831,0.0,700.0,50.0
100832,0.0,700.0,50.0
100911,-20.0,535.0,35.0
100912,0.0,1200.0,50.0
100931,0.0,700.0,30.0
101011,-50.0,750.0,100.0
101031,0.0,700.0,50.0
101032,0.0,700.0,50.0
101111,20.0,650.0,50.0
101112,-100.0,730.0,40.0
101131,0.0,700.0,50.0
101211,0.0,800.0,45.0
101231,0.0,700.0,50.0
101311,-35.0,630.0,105.0
101312,0.0,1200.0,50.0
101331,0.0,800.0,50.0
101332,0.0,800.0,50.0
101411,0.0,700.0,50.0
101421,0.0,700.0,50.0
101431,0.0,800.0,50.0
101511,50.0,800.0,50.0
101531,0.0,800.0,50.0
101532,0.0,800.0,50.0
101611,-20.0,740.0,80.0
101631,0.0,700.0,50.0
101632,0.0,900.0,50.0
101711,-85.0,610.0,40.0
101731,0.0,700.0,50.0
101732,0.0,700.0,50.0
101811,0.0,700.0,50.0
101821,0.0,700.0,50.0
101831,0.0,700.0,50.0
102011,0.0,520.0,50.0
102031,0.0,700.0,50.0
102032,0.0,700.0,50.0
102111,-50.0,700.0,100.0
102131,0.0,700.0,50.0
102211,-30.0,490.0,80.0
102231,0.0,700.0,50.0
102232,0.0,700.0,50.0
102311,-10.0,530.0,45.0
102312,-10.0,530.0,45.0
102321,0.0,700.0,50.0
102331,0.0,700.0,50.0
102332,-25.0,525.0,0.0
102511,-85.0,550.0,45.0
102531,0.0,700.0,50.0
102611,30.0,580.0,45.0
102631,0.0,700.0,50.0
102632,0.0,700.0,50.0
102711,-120.0,680.0,60.0
102712,0.0,1200.0,50.0
102731,0.0,700.0,50.0
102732,0.0,700.0,50.0
102811,0.0,900.0,50.0
102821,0.0,900.0,50.0
102831,0.0,900.0,50.0
102832,0.0,900.0,50.0
102911,-30.0,500.0,65.0
102912,-50.0,900.0,50.0
102913,0.0,900.0,50.0
102931,25.0,720.0,50.0
103011,-80.0,800.0,100.0
103031,0.0,700.0,50.0
103111,-65.0,600.0,50.0
103112,-65.0,600.0,50.0
103131,0.0,700.0,50.0
103132,0.0,700.0,50.0
103133,0.0,800.0,50.0
103211,50.0,800.0,80.0
103231,0.0,700.0,50.0
103311,90.0,700.0,50.0
103331,0.0,700.0,50.0
103332,0.0,700.0,50.0
103411,0.0,700.0,50.0
103431,0.0,700.0,50.0
103432,0.0,700.0,50.0
103433,0.0,700.0,50.0
103611,0.0,700.0,50.0
103631,0.0,700.0,50.0
103632,0.0,700.0,50.0
103711,-200.0,700.0,50.0
103731,0.0,700.0,50.0
103811,-50.0,550.0,50.0
103812,0.0,650.0,50.0
103831,0.0,700.0,50.0
103832,0.0,700.0,50.0
104011,-50.0,700.0,50.0
104031,0.0,700.0,50.0
104032,0.0,700.0,50.0
104211,30.0,600.0,50.0
104212,-50.0,700.0,50.0
104231,0.0,700.0,50.0
104232,0.0,700.0,50.0
104311,0.0,750.0,35.0
104331,0.0,700.0,50.0
104411,90.0,900.0,30.0
104412,0.0,1200.0,50.0
104431,0.0,900.0,50.0
104511,50.0,680.0,50.0
104512,50.0,680.0,50.0
104531,0.0,700.0,50.0
104532,0.0,700.0,50.0
104611,-100.0,700.0,50.0
104631,0.0,700.0,50.0
104632,0.0,700.0,50.0
104711,0.0,900.0,50.0
104712,0.0,900.0,50.0
104713,0.0,900.0,50.0
104811,-5.0,535.0,45.0
104831,0.0,700.0,50.0
104832,0.0,700.0,50.0
104911,-200.0,900.0,50.0
104912,-10.0,545.0,50.0
104913,-200.0,900.0,50.0
104931,0.0,700.0,50.0
104932,0.0,700.0,50.0
105011,0.0,900.0,50.0
105031,0.0,700.0,50.0
105032,0.0,700.0,50.0
105111,0.0,900.0,50.0
105112,0.0,1200.0,50.0
105131,0.0,700.0,50.0
105132,0.0,700.0,50.0
105211,-200.0,700.0,50.0
105212,-150.0,650.0,50.0
105231,0.0,900.0,50.0
105232,-15.0,690.0,50.0
105311,0.0,900.0,50.0
105331,0.0,900.0,50.0
105332,0.0,800.0,50.0
105411,0.0,900.0,50.0
105412,-50.0,700.0,50.0
105431,0.0,900.0,50.0
105432,0.0,900.0,50.0
105511,30.0,600.0,80.0
105531,0.0,700.0,50.0
105611,0.0,1200.0,50.0
105612,0.0,700.0,50.0
105613,0.0,1200.0,50.0
105631,0.0,700.0,50.0
105632,0.0,700.0,50.0
105711,0.0,700.0,50.0
105731,0.0,700.0,50.0
105811,90.0,675.0,100.0
105812,-35.0,600.0,80.0
105813,-55.0,640.0,65.0
105831,0.0,900.0,50.0
105911,-60.0,500.0,10.0
105912,0.0,700.0,50.0
105913,-15.0,500.0,60.0
105921,-60.0,500.0,10.0
105931,0.0,700.0,50.0
106011,0.0,735.0,50.0
106012,-5.0,750.0,80.0
106013,0.0,735.0,50.0
106014,0.0,735.0,50.0
106015,0.0,735.0,50.0
106031,0.0,700.0,50.0
106112,70.0,730.0,50.0
106113,70.0,730.0,50.0
106114,-20.0,480.0,50.0
106131,-50.0,430.0,0.0
106211,-10.0,715.0,50.0
106231,0.0,800.0,50.0
106311,-120.0,765.0,50.0
106331,-80.0,750.0,50.0
106411,-70.0,590.0,60.0
106412,-70.0,590.0,60.0
106414,-70.0,590.0,60.0
106511,-55.0,765.0,65.0
106531,0.0,520.0,50.0
106611,0.0,420.0,70.0
106612,0.0,420.0,70.0
106631,-30.0,550.0,50.0
106632,-55.0,550.0,50.0
106711,-140.0,760.0,100.0
106712,-140.0,760.0,100.0
106811,110.0,875.0,50.0
106812,0.0,1200.0,50.0
106813,-40.0,580.0,50.0
106831,0.0,800.0,50.0
106832,-55.0,570.0,20.0
106834,0.0,800.0,50.0
106911,0.0,1200.0,50.0
106912,0.0,1200.0,50.0
106913,-30.0,700.0,70.0
106914,-25.0,690.0,35.0
106915,-60.0,1050.0,100.0
107011,0.0,1200.0,50.0
107031,0.0,460.0,0.0
107111,0.0,1200.0,50.0
107131,-30.0,885.0,40.0
107311,0.0,1200.0,50.0
107312,0.0,1500.0,50.0
107331,0.0,800.0,50.0
107511,-40.0,550.0,60.0
107611,-60.0,350.0,20.0
107631,-17.0,700.0,50.0
107711,60.0,610.0,70.0
107712,60.0,610.0,70.0
107811,0.0,700.0,50.0
107911,-40.0,565.0,0.0
107912,-40.0,565.0,0.0
107931,0.0,450.0,0.0
108011,-110.0,570.0,70.0
108012,-110.0,570.0,70.0
108031,0.0,460.0,50.0
108111,-90.0,750.0,65.0
108211,-10.0,540.0,85.0
108411,0.0,650.0,105.0
108511,0.0,600.0,60.0
108611,-60.0,700.0,80.0
108711,-50.0,600.0,90.0
108911,25.0,600.0,75.0
