story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
1001001,1001,"Hiyori Episode 1","I Scratch Your Back, You Scratch Mine",0,0,0,0,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001002,1001,"Hiyori Episode 2","A Promise Worth Keeping",0,0,1001001,2,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001003,1001,"Hiyori Episode 3","An Earnest Desire for Happiness",0,0,1001002,3,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001004,1001,"Hiyori Episode 4","The Stray Cat Girl",0,0,1001003,4,100101,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001005,1001,"Hiyori Episode 5","The Tail's Off-Limits!",0,0,1001004,5,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001006,1001,"Hiyori Episode 6","No Rest for the Wicked!",0,0,1001005,6,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001007,1001,"Hiyori Episode 7","Something to Fight For",0,0,1001006,7,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1001008,1001,"Hiyori Episode 8","Yell for You, Yell for Me",0,0,1001007,8,100101,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002001,1002,"Yui Episode 1","This Time, For Sure",0,0,0,0,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002002,1002,"Yui Episode 2","Operation Lunch Time!",0,0,1002001,2,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002003,1002,"Yui Episode 3","A Spoonful of Love",0,0,1002002,3,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002004,1002,"Yui Episode 4","So Close, Yet So Far",0,0,1002003,4,100201,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002005,1002,"Yui Episode 5","One Step at a Time",0,0,1002004,5,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002006,1002,"Yui Episode 6","Lay It All Bare",0,0,1002005,6,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002007,1002,"Yui Episode 7","A Reliable Partner?",0,0,1002006,7,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1002008,1002,"Yui Episode 8","Of Love and Charms",0,0,1002007,8,100201,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003001,1003,"Rei Episode 1","A Reliable Teacher",0,0,0,0,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003002,1003,"Rei Episode 2","Together, As One",0,0,1003001,2,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003003,1003,"Rei Episode 3","Our Promise",0,0,1003002,3,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003004,1003,"Rei Episode 4","Show Me Your True Smile",0,0,1003003,4,100301,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003005,1003,"Rei Episode 5","Respite by the Beachside",0,0,1003004,5,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003006,1003,"Rei Episode 6","A Moment of Weakness",0,0,1003005,6,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003007,1003,"Rei Episode 7","Before the Sun Sets",0,0,1003006,7,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1003008,1003,"Rei Episode 8","Take the Horse By Its Reigns",0,0,1003007,8,100301,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1004001,1004,"Misogi Episode 1","A Prankster at Large!",0,0,0,0,100401,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1004002,1004,"Misogi Episode 2","Ultra Misogi Trap!",0,0,1004001,2,100401,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
1004003,1004,"Misogi Episode 3","Trapology 101",0,0,1004002,3,100401,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2030/12/17 14:59:59"
