story_quest_id,story_id,quest_name,limit_time,background_1,wave_group_id_1,wave_bgm_sheet_id_1,wave_bgm_que_id_1,background_2,wave_group_id_2,wave_bgm_sheet_id_2,wave_bgm_que_id_2,background_3,wave_group_id_3,wave_bgm_sheet_id_3,wave_bgm_que_id_3,guest_unit_1,guest_unit_2,guest_unit_3,guest_unit_4,guest_unit_5
51200001,2000001,"Last Battle",90,100182,512000011,0,0,0,0,0,0,0,0,0,0,901000102,901000103,901000105,901000106,0
51200002,2000002,"Tutorial Battle",90,100021,512000021,bgm_M06,bgm_M06,100022,512000022,bgm_M06,bgm_M06,0,0,0,0,901000201,901000202,901000104,0,0
51200006,2000006,"Tutorial Battle",90,100021,512000021,bgm_M06,bgm_M06,100022,512000022,bgm_M06,bgm_M06,0,0,0,0,901000201,901000202,901000104,0,0
52003005,2003005,"ADV Battle",90,100671,520030051,bgm_M17,bgm_M17_03_and_M29,0,0,0,0,0,0,0,0,901000301,901000302,901000303,0,0
52004002,2004002,"ADV Battle",90,100011,520040021,bgm_M06,bgm_M06,0,0,0,0,0,0,0,0,901000401,901000402,901000403,0,0
55001004,5001004,"Ziz Battle",90,81000111,550010041,bgm_M47,bgm_M47,0,0,0,0,0,0,0,0,901000501,0,0,0,0
55001006,5001006,"Ziz Battle",90,81000106,550010041,bgm_M47,bgm_M47,0,0,0,0,0,0,0,0,901000401,901000501,901000502,0,0
55002005,5002005,"Alma Battle",90,81000205,550020051,bgm_M102,bgm_M102,0,0,0,0,0,0,0,0,901000601,901000602,901000603,0,0
55002006,5002006,"Alma Battle",90,81000206,550020052,bgm_M102,bgm_M102,0,0,0,0,0,0,0,0,901000601,901000602,901000603,0,0
55003006,5003006,"Garoog Battle",90,81000305,550030061,bgm_M109,bgm_M109,0,0,0,0,0,0,0,0,901000601,901000701,901000702,901000703,0
55004005,5004005,"Swimsuit Battle",90,100931,550040051,bgm_M116,bgm_M116,0,0,0,0,0,0,0,0,901000601,901000801,901000802,901000803,0
55005006,5005006,"Island Whale Battle",90,81000505,550050061,bgm_M124,bgm_M124,0,0,0,0,0,0,0,0,901000906,901000901,901000902,901000903,901000904
55011005,5011005,"Valentine Boss Battle",90,81001105,550110051,bgm_M192,bgm_M192,0,0,0,0,0,0,0,0,901000906,901001001,901001002,901001003,0
55011006,5011006,"Valentine Boss Battle",90,81001106,550110051,0,0,0,0,0,0,0,0,0,0,901001001,901001002,901001003,0,0
