id,value,tips_index,title
4100101,100101,1,"The Best-Laid Plans"
4100201,100201,1,"Sweet Dreams"
4100301,100301,1,"Simple Pleasures"
4100401,100401,1,"Little Prankster"
4100501,100501,1,"Pose Practice"
4100601,100601,1,"Puppy-Dog Eyes"
4100701,100701,1,"A Haunting Decision"
4100801,100801,1,"The Finest Prize of All"
4100901,100901,1,"Fear the Name!"
4101001,101001,1,"Because She Says So"
4101101,101101,1,"No Oysters for You"
4101201,101201,1,"Wayward Sister"
4101301,101301,1,"A New Technique?"
4101401,101401,1,"The Detective Life"
4101501,101501,1,"The Power of Love?"
4101601,101601,1,"An Alluring Aroma"
4101701,101701,1,"Don't Sweat It!"
4101801,101801,1,"Leave It to Miss Io!"
4102001,102001,1,"A Growing Bunny"
4102101,102101,1,"The Perfect Hiding Place"
4102201,102201,1,"Protesting Too Much"
4102301,102301,1,"Avid Collector"
4102501,102501,1,"NEW RECORD!"
4102601,102601,1,"Early to Bed"
4102701,102701,1,"Target Acquired"
4102801,102801,1,"Special Offer"
4102901,102901,1,Incognito
4103001,103001,1,"Secrets of the East"
4103101,103101,1,"Telling Fortunes"
4103201,103201,1,"Follow Me!"
4103301,103301,1,"Cutting-Edge Comedy"
4103401,103401,1,"Setting the Best Example"
4103601,103601,1,Suspicious...
4103701,103701,1,"Kitchen Prowess"
4103801,103801,1,Priorities
4104001,104001,1,"Doing Her Best"
4104201,104201,1,"Enchanting Melody"
4104301,104301,1,"Secret Desires"
4104401,104401,1,"Trading Quest of Evil"
4104501,104501,1,"Happens to the Best of Us"
4104601,104601,1,"Freshly Baked"
4104701,104701,1,"Fashion Conscious"
4104801,104801,1,"Optimal Shopping?"
4104901,104901,1,"A Sisterly Suggestion"
4105001,105001,1,"Very Sophisticated?"
4105101,105101,1,"A Bedside Visitor"
4105201,105201,1,"A Pure Maiden's Dream"
4105301,105301,1,"Bedtime Blues"
4105401,105401,1,"A Devoted Tailor"
4105501,105501,1,"Remember Me!"
4105601,105601,1,"Unexpected Entourage"
4105701,105701,1,"Sky-High Dreamer"
4105801,105801,1,"A True Gourmet"
4105901,105901,1,"Brave New Recipes"
4106001,106001,1,Tsundere
4106101,106101,1,"Special Attack"
4106301,106301,1,"Joyful Revelation"
4107001,107001,1,"You Got Pranked!"
4107101,107101,1,"Accursed Tedium"
4109201,109201,1,"I'm Curious!"
4109301,109301,1,"Secret Technique"
4109401,109401,1,Off-Limits
4109501,109501,1,"Just How She Likes It"
4109601,109601,1,"Ninpo: Konohagakure no Jutsu"
4110701,110701,1,"I'm Not Worthy"
4110801,110801,1,"Easily Misunderstood"
4111401,111401,1,"Come on My Adventure"
