quest_id,quest_balance_version
71010001,19012801
71010002,19012801
71010003,19012801
71010004,19012801
71010005,19012801
71010006,19012801
71010007,19012801
71010008,19012801
71010009,19012801
71010010,19012801
71010011,19012801
71010012,19012801
71010013,19012801
71010014,19012801
71010015,19012801
71010016,19012801
71010017,19012801
71010018,19012801
71010019,19012801
71010020,19012801
71010021,19012801
71010022,19012801
71010023,19012801
71010024,19012801
71010025,19012801
71010026,19012801
71010027,19012801
71010028,19012801
71010029,19012801
71010030,19012801
71010031,19012801
71010032,19012801
71010033,19012801
71010034,19012801
71010035,19012801
71010036,19012801
71010037,19012801
71010038,19012801
71010039,19012801
71010040,19012801
71010041,19012801
71010042,19012801
71010043,19012801
71010044,19012801
71010045,19012801
71010046,19012801
71010047,19012801
71010048,19012801
71010049,19012801
71010050,19012801
71010051,19012801
71010052,19012801
71010053,19012801
71010054,19012801
71010055,19012801
71010056,19012801
71010057,19012801
71010058,19012801
71010059,19012801
71010060,19012801
71010061,19012801
71010062,19012801
71010063,19012801
71010064,19012801
71010065,19012801
71010066,19012801
71010067,19012801
71010068,19012801
71010069,19012801
71010070,19012801
71020071,19012801
71020072,19012801
71020073,19012801
71020074,19012801
71020075,19012801
71020076,19012801
71020077,19012801
71020078,19012801
71020079,19012801
71020080,19012801
71020081,19012801
71020082,19012801
71020083,19012801
71020084,19012801
71020085,19012801
71020086,19012801
71020087,19012801
71020088,19012801
71020089,19012801
71020090,19012801
71020091,19012801
71020092,19012801
71020093,19012801
71020094,19012801
71020095,19012801
71020096,19012801
71020097,19012801
71020098,19012801
71020099,19012801
71020100,19012801
71020101,19012801
71020102,19012801
71020103,19012801
71020104,19012801
71020105,19012801
71020106,19012801
71020107,19012801
71020108,19012801
71020109,19012801
71020110,19012801
71030111,19012801
71030112,19012801
71030113,19012801
71030114,19012801
71030115,19012801
71030116,19012801
71030117,19012801
71030118,19012801
71030119,19012801
71030120,19012801
71030121,19012801
71030122,19012801
71030123,19012801
71030124,19012801
71030125,19012801
71030126,19012801
71030127,19012801
71030128,19012801
71030129,19012801
71030130,19012801
71040131,19012801
71040132,19012801
71040133,19012801
71040134,19012801
71040135,19012801
71040136,19012801
71040137,19012801
71040138,19012801
71040139,19012801
71040140,19012801
71040141,19012801
71040142,19012801
71040143,19012801
71040144,19012801
71040145,19012801
71040146,19012801
71040147,19012801
71040148,19012801
71040149,19012801
71040150,19012801
71050151,19012801
71050152,19012801
71050153,19012801
71050154,19012801
71050155,19012801
71050156,19012801
71050157,19012801
71050158,19012801
71050159,19012801
71050160,19012801
71050161,19012801
71050162,19012801
71050163,19012801
71050164,19012801
71050165,19012801
71050166,19012801
71050167,19012801
71050168,19012801
71050169,19012801
71050170,19012801
71060171,19012801
71060172,19012801
71060173,19012801
71060174,19012801
71060175,19012801
71060176,19012801
71060177,19012801
71060178,19012801
71060179,19012801
71060180,19012801
71060181,19012801
71060182,19012801
71060183,19012801
71060184,19012801
71060185,19012801
71060186,19012801
71060187,19012801
71060188,19012801
71060189,19012801
71060190,19012801
71070191,19031401
71070192,19031401
71070193,19031401
71070194,19031401
71070195,19031401
71070196,19031401
71070197,19031401
71070198,19031401
71070199,19031401
71070200,19031401
71070201,19031401
71070202,19031401
71070203,19031401
71070204,19031401
71070205,19031401
71070206,19031401
71070207,19031401
71070208,19031401
71070209,19031401
71070210,19031401
71080211,19041301
71080212,19041301
71080213,19041301
71080214,19041301
71080215,19041301
71080216,19041301
71080217,19041301
71080218,19041301
71080219,19041301
71080220,19041301
71080221,19041301
71080222,19041301
71080223,19041301
71080224,19041301
71080225,19041301
71080226,19041301
71080227,19041301
71080228,19041301
71080229,19041301
71080230,19041301
71090231,19051301
71090232,19051301
71090233,19051301
71090234,19051301
71090235,19051301
71090236,19051301
71090237,19051301
71090238,19051301
71090239,19051301
71090240,19051301
71090241,19051301
71090242,19051301
71090243,19051301
71090244,19051301
71090245,19051301
71090246,19051301
71090247,19051301
71090248,19051301
71090249,19051301
71090250,19051301
71100251,19061301
71100252,19061301
71100253,19061301
71100254,19061301
71100255,19061301
71100256,19061301
71100257,19061301
71100258,19061301
71100259,19061301
71100260,19061301
71100261,19061301
71100262,19061301
71100263,19061301
71100264,19061301
71100265,19061301
71100266,19061301
71100267,19061301
71100268,19061301
71100269,19061301
71100270,19061301
71110271,19071501
71110272,19071501
71110273,19071501
71110274,19071501
71110275,19071501
71110276,19071501
71110277,19071501
71110278,19071501
71110279,19071501
71110280,19071501
71110281,19071501
71110282,19071501
71110283,19071501
71110284,19071501
71110285,19071501
71110286,19071501
71110287,19071501
71110288,19071501
71110289,19071501
71110290,19071501
71120291,19081401
71120292,19081401
71120293,19081401
71120294,19081401
71120295,19081401
71120296,19081401
71120297,19081401
71120298,19081401
71120299,19081401
71120300,19081401
71120301,19081401
71120302,19081401
71120303,19081401
71120304,19081401
71120305,19081401
71120306,19081401
71120307,19081401
71120308,19081401
71120309,19081401
71120310,19081401
71130311,19091401
71130312,19091401
71130313,19091401
71130314,19091401
71130315,19091401
71130316,19091401
71130317,19091401
71130318,19091401
71130319,19091401
71130320,19091401
71130321,19091401
71130322,19091401
71130323,19091401
71130324,19091401
71130325,19091401
71130326,19091401
71130327,19091401
71130328,19091401
71130329,19091401
71130330,19091401
71140331,19101401
71140332,19101401
71140333,19101401
71140334,19101401
71140335,19101401
71140336,19101401
71140337,19101401
71140338,19101401
71140339,19101401
71140340,19101401
71140341,19101401
71140342,19101401
71140343,19101401
71140344,19101401
71140345,19101401
71140346,19101401
71140347,19101401
71140348,19101401
71140349,19101401
71140350,19101401
71150351,19111401
71150352,19111401
71150353,19111401
71150354,19111401
71150355,19111401
71150356,19111401
71150357,19111401
71150358,19111401
71150359,19111401
71150360,19111401
71160361,19121401
71160362,19121401
71160363,19121401
71160364,19121401
71160365,19121401
71160366,19121401
71160367,19121401
71160368,19121401
71160369,19121401
71160370,19121401
71170371,20011401
71170372,20011401
71170373,20011401
71170374,20011401
71170375,20011401
71170376,20011401
71170377,20011401
71170378,20011401
71170379,20011401
