tower_quest_id,tower_area_id,floor_num,floor_image_type,floor_image_add_type,open_tower_ex_quest_id,boss_floor_flg,stamina,stamina_start,team_exp,limit_time,recovery_hp_rate,recovery_tp_rate,start_tp_rate,reward_image_1,reward_count_1,reward_image_2,reward_count_2,reward_image_3,reward_count_3,reward_image_4,reward_count_4,reward_image_5,reward_count_5,additional_reward_type,additional_reward_id,fix_reward_group_id,odds_group_id,chest_id,background,bg_position,wave_group_id,enemy_position_x_1,enemy_local_position_y_1,enemy_size_1,enemy_position_x_2,enemy_local_position_y_2,enemy_size_2,enemy_position_x_3,enemy_local_position_y_3,enemy_size_3,enemy_position_x_4,enemy_local_position_y_4,enemy_size_4,enemy_position_x_5,enemy_local_position_y_5,enemy_size_5,wave_bgm,clp_flag
71010001,1,1,1,1,0,0,0,0,0,90,100,100,500,91002,30,113011,5,94002,12000,0,0,0,0,0,0,2100101,0,40001,101181,-100,710100011,-301,0,0.7,-101,0,0.7,99,0,0.7,299,0,0.7,0,0,0.7,bgm_M127,1
71010002,1,2,1,3,0,0,0,0,0,90,100,100,500,91002,30,123042,5,94002,12100,0,0,0,0,0,0,2100102,0,40001,101181,-100,710100021,-301,0,0.7,-101,0,0.7,99,0,0.7,299,0,0.7,0,0,0.7,bgm_M127,1
71010003,1,3,1,4,0,0,0,0,0,90,100,100,500,91002,30,113071,5,94002,12200,0,0,0,0,0,0,2100103,0,40004,101181,-100,710100031,-301,0,0.7,-101,0,0.7,99,0,0.7,299,0,0.7,0,0,0.7,bgm_M127,1
71010004,1,4,1,2,0,0,0,0,0,90,100,100,500,91002,30,123072,5,94002,12300,0,0,0,0,0,0,2100104,0,40001,101181,-100,710100041,-301,0,0.7,-101,0,0.7,99,0,0.7,299,0,0.7,0,0,0.7,bgm_M127,1
71010005,1,5,1,1,0,0,0,0,0,90,100,100,500,91002,30,113012,5,94002,12400,0,0,0,0,0,0,2100105,0,40001,101181,-100,710100051,-301,0,0.7,-101,0,0.7,99,0,0.7,299,0,0.7,0,0,0.7,bgm_M127,1
71010006,1,6,1,3,0,0,0,0,0,90,100,100,500,91002,30,113013,5,94002,12500,0,0,0,0,0,0,2100106,0,40004,101181,-100,710100061,-335,0,0.9,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010007,1,7,1,4,0,0,0,0,0,90,100,100,500,91002,30,123041,5,94002,12600,0,0,0,0,0,0,2100107,0,40004,101181,-100,710100071,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010008,1,8,1,2,0,0,0,0,0,90,100,100,500,91002,30,123161,5,94002,12700,0,0,0,0,0,0,2100108,0,40004,101181,-100,710100081,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010009,1,9,1,1,0,0,0,0,0,90,100,100,500,91002,30,113162,5,94002,12800,0,0,0,0,0,0,2100109,0,40004,101181,-100,710100091,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010010,1,10,1,3,0,1,0,0,0,90,100,100,500,140000,1,91002,100,113191,5,94002,12900,0,0,0,0,2100110,0,40004,101183,-100,710100101,-1,-20,1.0,0,0,0.7,0,0,0.7,0,0,0.7,0,0,0.7,bgm_M126,1
71010011,1,11,1,4,0,0,0,0,0,90,100,100,500,91002,30,123192,5,94002,13000,0,0,0,0,0,0,2100111,0,40004,101181,-100,710100111,-335,0,0.7,-168,0,0.7,-1,0,0.9,166,0,0.7,333,0,0.7,bgm_M127,1
71010012,1,12,1,2,0,0,0,0,0,90,100,100,500,91002,30,123193,5,94002,13100,0,0,0,0,0,0,2100112,0,40004,101181,-100,710100121,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010013,1,13,1,1,0,0,0,0,0,90,100,100,500,91002,30,113221,5,94002,13200,0,0,0,0,0,0,2100113,0,40004,101181,-100,710100131,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010014,1,14,1,3,0,0,0,0,0,90,100,100,500,91002,30,113222,5,94002,13300,0,0,0,0,0,0,2100114,0,40004,101181,-100,710100141,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010015,1,15,1,4,0,0,0,0,0,90,100,100,500,91002,30,123251,5,94002,13400,0,0,0,0,0,0,2100115,0,40004,101181,-100,710100151,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010016,1,16,1,2,0,0,0,0,0,90,100,100,500,91002,30,113252,5,94002,13500,0,0,0,0,0,0,2100116,0,40004,101181,-100,710100161,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010017,1,17,1,1,0,0,0,0,0,90,100,100,500,91002,30,123281,5,94002,13600,0,0,0,0,0,0,2100117,0,40004,101181,-100,710100171,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010018,1,18,1,3,0,0,0,0,0,90,100,100,500,91002,30,123282,5,94002,13700,0,0,0,0,0,0,2100118,0,40004,101181,-100,710100181,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010019,1,19,1,4,0,0,0,0,0,90,100,100,500,91002,30,113283,5,94002,13800,0,0,0,0,0,0,2100119,0,40004,101181,-100,710100191,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010020,1,20,1,2,0,1,0,0,0,90,100,100,500,140000,1,91002,100,123311,5,94002,13900,0,0,0,0,2100120,0,40004,101183,-100,710100201,-240,0,0.7,-1,0,0.7,248,-20,1.0,0,0,0.7,0,0,0.7,bgm_M126,1
71010021,1,21,1,1,0,0,0,0,0,90,100,100,500,91002,30,123341,5,94002,14000,0,0,0,0,0,0,2100121,0,40004,101181,-100,710100211,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010022,1,22,1,3,0,0,0,0,0,90,100,100,500,91002,30,113342,5,94002,14100,0,0,0,0,0,0,2100122,0,40004,101181,-100,710100221,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010023,1,23,1,4,0,0,0,0,0,90,100,100,500,91002,30,123343,5,94002,14200,0,0,0,0,0,0,2100123,0,40004,101181,-100,710100231,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010024,1,24,1,2,0,0,0,0,0,90,100,100,500,91002,30,123371,5,94002,14300,0,0,0,0,0,0,2100124,0,40004,101181,-100,710100241,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010025,1,25,1,1,0,0,0,0,0,90,100,100,500,91002,30,113372,5,94002,14400,0,0,0,0,0,0,2100125,0,40004,101181,-100,710100251,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
