fix_reward_group_id,treasure_type_1,reward_type_1,reward_id_1,reward_num_1,treasure_type_2,reward_type_2,reward_id_2,reward_num_2,treasure_type_3,reward_type_3,reward_id_3,reward_num_3,treasure_type_4,reward_type_4,reward_id_4,reward_num_4,treasure_type_5,reward_type_5,reward_id_5,reward_num_5,treasure_type_6,reward_type_6,reward_id_6,reward_num_6,treasure_type_7,reward_type_7,reward_id_7,reward_num_7,treasure_type_8,reward_type_8,reward_id_8,reward_num_8,treasure_type_9,reward_type_9,reward_id_9,reward_num_9,treasure_type_10,reward_type_10,reward_id_10,reward_num_10
2100101,1,8,91002,30,1,4,113011,5,1,12,94002,12000,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100102,1,8,91002,30,1,4,123042,5,1,12,94002,12100,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100103,1,8,91002,30,1,4,113071,5,1,12,94002,12200,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100104,1,8,91002,30,1,4,123072,5,1,12,94002,12300,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100105,1,8,91002,30,1,4,113012,5,1,12,94002,12400,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100106,1,8,91002,30,1,4,113013,5,1,12,94002,12500,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100107,1,8,91002,30,1,4,123041,5,1,12,94002,12600,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100108,1,8,91002,30,1,4,123161,5,1,12,94002,12700,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100109,1,8,91002,30,1,4,113162,5,1,12,94002,12800,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100110,6,4,140000,1,1,8,91002,100,1,4,113191,5,1,12,94002,12900,1,2,20001,3,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100111,1,8,91002,30,1,4,123192,5,1,12,94002,13000,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100112,1,8,91002,30,1,4,123193,5,1,12,94002,13100,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100113,1,8,91002,30,1,4,113221,5,1,12,94002,13200,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100114,1,8,91002,30,1,4,113222,5,1,12,94002,13300,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100115,1,8,91002,30,1,4,123251,5,1,12,94002,13400,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100116,1,8,91002,30,1,4,113252,5,1,12,94002,13500,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100117,1,8,91002,30,1,4,123281,5,1,12,94002,13600,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100118,1,8,91002,30,1,4,123282,5,1,12,94002,13700,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100119,1,8,91002,30,1,4,113283,5,1,12,94002,13800,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100120,6,4,140000,1,1,8,91002,100,1,4,123311,5,1,12,94002,13900,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
