tower_schedule_id,max_tower_area_id,opening_story_id,count_start_time,recovery_disable_time,start_time,end_time
1001,1,7001000,"2021/09/14 15:59:59","2021/09/15 13:00:00","2021/09/10 13:00:00","2021/09/15 15:59:59"
1002,2,7002000,"2021/10/17 15:59:59","2021/10/18 13:00:00","2021/10/13 13:00:00","2021/10/18 15:59:59"
1003,3,7003000,"2021/11/14 15:59:59","2021/11/15 13:00:00","2021/11/10 13:00:00","2021/11/15 15:59:59"
1004,4,7003003,"2021/12/11 15:59:59","2021/12/12 13:00:00","2021/12/07 13:00:00","2021/12/12 15:59:59"
1005,5,7004000,"2022/01/09 15:59:59","2022/01/10 13:00:00","2022/01/05 13:00:00","2022/01/10 15:59:59"
1006,6,7004003,"2022/02/09 15:59:59","2022/02/10 13:00:00","2022/02/05 13:00:00","2022/02/10 15:59:59"
1007,7,7005000,"2022/03/09 15:59:59","2022/03/10 13:00:00","2022/03/05 13:00:00","2022/03/10 15:59:59"
1008,8,7005000,"2022/04/04 15:59:59","2022/04/05 13:00:00","2022/03/31 13:00:00","2022/04/05 15:59:59"
1009,9,7006000,"2022/04/21 15:59:59","2022/04/22 13:00:00","2022/04/17 13:00:00","2022/04/22 15:59:59"
1010,10,7006003,"2022/05/19 15:59:59","2022/05/20 13:00:00","2022/05/15 13:00:00","2022/05/20 15:59:59"
1011,11,7007000,"2022/06/20 15:59:59","2022/06/21 13:00:00","2022/06/16 13:00:00","2022/06/21 15:59:59"
