id,wave_group_id,odds,enemy_id_1,enemy_id_2,enemy_id_3,enemy_id_4,enemy_id_5
710000001,710100011,100,710000104,710000101,710000102,710000105,0
710000002,710100021,100,710000204,710000201,710000202,710000203,0
710000003,710100031,100,710000302,710000301,710000304,710000305,0
710000004,710100041,100,710000402,710000401,710000404,710000405,0
710000005,710100051,100,710000504,710000502,710000505,710000501,0
710000006,710100061,100,710000603,710000601,710000605,710000602,710000604
710000007,710100071,100,710000703,710000704,710000701,710000702,710000705
710000008,710100081,100,710000803,710000805,710000802,710000801,710000804
710000009,710100091,100,710000901,710000902,710000903,710000904,710000905
710000010,710100101,100,710001001,0,0,0,0
710000011,710100111,100,710001102,710001101,710001103,710001105,710001104
710000012,710100121,100,710001203,710001205,710001201,710001202,710001204
710000013,710100131,100,710001304,710001301,710001303,710001302,710001305
710000014,710100141,100,710001403,710001401,710001404,710001402,710001405
710000015,710100151,100,710001503,710001501,710001505,710001502,710001504
710000016,710100161,100,710001605,710001602,710001601,710001603,710001604
710000017,710100171,100,710001705,710001703,710001701,710001702,710001704
710000018,710100181,100,710001803,710001801,710001804,710001802,710001805
710000019,710100191,100,710001904,710001902,710001901,710001903,710001905
710000020,710100201,100,710002002,710002002,710002001,0,0
710000021,710100211,100,710002103,710002104,710002102,710002101,710002105
710000022,710100221,100,710002203,710002204,710002201,710002202,710002205
710000023,710100231,100,710002303,710002302,710002304,710002301,710002305
710000024,710100241,100,710002403,710002404,710002401,710002402,710002405
710000025,710100251,100,710002501,710002502,710002503,710002504,710002505
710000026,710100261,100,710002603,710002602,710002601,710002605,710002604
710000027,710100271,100,710002703,710002702,710002705,710002701,710002704
710000028,710100281,100,710002803,710002801,710002802,710002805,710002804
710000029,710100291,100,710002903,710002901,710002904,710002902,710002905
710000030,710100301,100,710003002,710003002,710003003,710003001,0
710000031,710100311,100,710003103,710003102,710003101,710003104,710003105
710000032,710100321,100,710003203,710003204,710003201,710003202,710003205
710000033,710100331,100,710003303,710003304,710003302,710003301,710003305
710000034,710100341,100,710003403,710003404,710003402,710003401,710003405
710000035,710100351,100,710003503,710003501,710003502,710003504,710003505
710000036,710100361,100,710003603,710003601,710003602,710003604,710003605
710000037,710100371,100,710003703,710003704,710003701,710003702,710003705
710000038,710100381,100,710003803,710003801,710003804,710003802,710003805
710000039,710100391,100,710003903,710003902,710003901,710003905,710003904
710000040,710100401,100,710004002,710004002,710004003,710004001,0
710000041,710100411,100,710004103,710004102,710004104,710004101,710004105
710000042,710100421,100,710004204,710004203,710004202,710004201,710004205
710000043,710100431,100,710004303,710004304,710004302,710004301,710004305
710000044,710100441,100,710004401,710004402,710004403,710004404,710004405
710000045,710100451,100,710004503,710004501,710004502,710004504,710004505
710000046,710100461,100,710004603,710004604,710004602,710004601,710004605
710000047,710100471,100,710004703,710004701,710004702,710004704,710004705
710000048,710100481,100,710004805,710004801,710004802,710004803,710004804
710000049,710100491,100,710004903,710004904,710004901,710004902,710004905
710000050,710100501,100,710005002,710005002,710005003,710005001,710005004
710000051,710100511,100,710005104,710005102,710005103,710005101,710005105
710000052,710100521,100,710005203,710005202,710005204,710005201,710005205
710000053,710100531,100,710005302,710005301,710005303,710005305,710005304
710000054,710100541,100,710005405,710005402,710005401,710005403,710005404
710000055,710100551,100,710005503,710005504,710005502,710005501,710005505
710000056,710100561,100,710005602,710005601,710005603,710005605,710005604
710000057,710100571,100,710005703,710005701,710005702,710005704,710005705
710000058,710100581,100,710005803,710005801,710005804,710005802,710005805
710000059,710100591,100,710005904,710005902,710005903,710005901,710005905
710000060,710100601,100,710006002,710006002,710006003,710006001,710006004
710000061,710100611,100,710006103,710006101,710006104,710006102,710006105
710000062,710100621,100,710006205,710006203,710006201,710006202,710006204
710000063,710100631,100,710006304,710006301,710006302,710006305,710006303
710000064,710100641,100,710006403,710006404,710006401,710006402,710006405
710000065,710100651,100,710006503,710006502,710006501,710006505,710006504
710000066,710100661,100,710006601,710006604,710006603,710006602,710006605
710000067,710100671,100,710006704,710006703,710006705,710006701,710006702
