quest_id,area_id,quest_name,limit_team_level,unlock_quest_id_1,unlock_quest_id_2,stamina,stamina_start,team_exp,unit_exp,limit_time,rank_reward_group,background_1,wave_group_id_1,wave_bgm_sheet_id_1,wave_bgm_que_id_1,background_2,wave_group_id_2,wave_bgm_sheet_id_2,wave_bgm_que_id_2,background_3,wave_group_id_3,wave_bgm_sheet_id_3,wave_bgm_que_id_3,enemy_image_1,enemy_image_2,enemy_image_3,enemy_image_4,enemy_image_5,reward_image_1,reward_image_2,reward_image_3,reward_image_4,reward_image_5,training_quest_detail_bg_id,training_quest_detail_bg_position,start_time,end_time
21001001,21001,"Mana Quest Lvl 1",1,0,0,0,0,0,80,90,221001001,100051,210010011,bgm_M06,bgm_M06,100052,210010012,bgm_M06,bgm_M06,100053,210010013,bgm_M06,bgm_M06,201010105,201010103,201010106,201010104,0,94002,23001,0,0,0,100052,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
21001002,21001,"Mana Quest Lvl 2",1,21001001,11004001,0,0,0,100,90,221001002,100051,210010021,bgm_M06,bgm_M06,100052,210010022,bgm_M06,bgm_M06,100053,210010023,bgm_M06,bgm_M06,201010204,201010204,201010206,201010207,0,94002,23001,0,0,0,100052,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
21001003,21001,"Mana Quest Lvl 3",1,21001002,11006001,0,0,0,140,90,221001003,100051,210010031,bgm_M06,bgm_M06,100052,210010032,bgm_M06,bgm_M06,100053,210010033,bgm_M06,bgm_M06,201010306,201010307,201010305,201010305,0,94002,23001,0,0,0,100052,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
21001004,21001,"Mana Quest Lvl 4",1,21001003,11007001,0,0,0,180,90,221001004,100051,210010041,bgm_M06,bgm_M06,100052,210010042,bgm_M06,bgm_M06,100053,210010043,bgm_M06,bgm_M06,201010409,201010401,201010407,201010406,201010408,94002,23001,0,0,0,100052,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
21001005,21001,"Mana Quest Lvl 5",1,21001004,11008001,0,0,0,200,90,221001005,100051,210010051,bgm_M06,bgm_M06,100052,210010052,bgm_M06,bgm_M06,100053,210010053,bgm_M06,bgm_M06,201010507,201010501,201010505,201010502,201010508,94002,23001,0,0,0,100052,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
21001006,21001,"Mana Quest Lvl 6",1,21001005,11010001,0,0,0,250,90,221001006,100051,210010061,bgm_M06,bgm_M06,100052,210010062,bgm_M06,bgm_M06,100053,210010063,bgm_M06,bgm_M06,201010609,201010607,201010608,201010602,201010603,94002,23001,0,0,0,100052,0,"2021/12/2 13:00:00","2030/12/17 14:59:59"
21001007,21001,"Mana Quest Lvl 7",1,21001006,11011001,0,0,0,300,90,221001007,100051,210010071,bgm_M06,bgm_M06,100052,210010072,bgm_M06,bgm_M06,100053,210010073,bgm_M06,bgm_M06,201010701,201010702,201010707,201010703,201010708,94002,23001,0,0,0,100052,0,"2022/02/02 13:00:00","2030/12/17 14:59:59"
21001008,21001,"Mana Quest Lvl 8",1,21001007,11013001,0,0,0,350,90,221001008,100051,210010081,bgm_M06,bgm_M06,100052,210010082,bgm_M06,bgm_M06,100053,210010083,bgm_M06,bgm_M06,201010807,201010803,201010802,201010806,201010808,94002,23001,0,0,0,100052,0,"2022/10/17 8:00:00","2030/12/17 14:59:59"
21002001,21002,"EXP Quest Lvl 1",1,0,0,0,0,0,80,90,221002001,100391,210020011,bgm_M06,bgm_M06,100392,210020012,bgm_M06,bgm_M06,100393,210020013,bgm_M06,bgm_M06,202020104,202020101,202020105,202020102,0,20001,20002,23001,0,0,100392,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
21002002,21002,"EXP Quest Lvl 2",1,21002001,11004001,0,0,0,100,90,221002002,100391,210020021,bgm_M06,bgm_M06,100392,210020022,bgm_M06,bgm_M06,100393,210020023,bgm_M06,bgm_M06,202020204,202020201,202020202,202020205,202020206,20001,20002,20003,23001,0,100392,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
