command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
1010001,1,1,1,105831,100,-496,-157,1.3,0,01_uek_cmn_idol_def_N
1010002,1,1,1,105931,110,-355,-178,1.3,0,01_uek_cmn_idol_def_N
1010003,1,1,1,112631,100,410,-124,1.3,1,01_uek_cmn_idol_def_N
1010004,1,1,1,112531,110,389,-258,1.3,1,01_uek_cmn_idol_def_N
1010005,1,1,1,106031,120,-415,-234,1.3,0,01_uek_cmn_idol_def_N
1010006,1,1,1,112431,120,262,-235,1.3,1,01_uek_cmn_idol_def_N
1010007,1,3,105831,01_uek_01_peko,0,01_uek_cmn_pose03,1,0,0.2,""
1010008,1,3,105931,01_uek_01_kokkoro,0,01_uek_talk_normal,1,0,0.2,""
1010009,1,3,106031,01_uek_01_kyaru,0,01_uek_cmn_pose02,1,0,0.2,""
1010010,1,3,112631,01_uek_01_mio,0,01_uek_cmn_pose03,1,0,0.2,""
1010011,1,3,112531,01_uek_01_rin,0,01_uek_cmn_pose02,1,0,0.2,""
1010012,1,3,112431,01_uek_01_uduki,0,01_uek_cmn_pose01,1,0,0.2,""
1010013,1,93,3,"","","","","","",""
1010014,1,3,112631,01_uek_cmn_pose03,1,"",0,0.2,"",""
1010015,1,3,112431,01_uek_cmn_pose01,1,"",0,0.2,"",""
1010016,1,3,105831,01_uek_cmn_pose03,1,"",0,0.2,"",""
1010017,1,3,105931,01_uek_talk_normal,0,01_uek_cmn_idol_def_N,1,0.2,0.1,""
1010018,1,3,106031,01_uek_cmn_pose02,0,01_uek_cmn_idol_def_N,1,0.2,0.1,""
1010019,1,3,112531,01_uek_cmn_pose02,0,01_uek_cmn_idol_def_N,1,0.2,0.1,""
1010020,1,11,105831,"Woooow!\nIt's grown so huge...\nHow crazy is that?! ☆",20,"","","","",""
1010021,1,91,0,"","","","","","",""
1010022,1,11,105931,"I am no longer able\nto see from here\nhow far it has reached.",20,"","","","",""
1010023,1,91,0,"","","","","","",""
1010024,1,11,112631,"With things like this,\ndon't you get the urge\nto see what's at the top?!",20,"","","","",""
1010025,1,91,0,"","","","","","",""
1010026,1,11,112531,"I can understand that.\nBesides, it might help us\nlearn what caused this.",20,"","","","",""
1010027,1,91,0,"","","","","","",""
1010028,1,11,106031,"Well, I'm curious too,\nso I guess I'll tag along.",20,"","","","",""
1010029,1,91,0,"","","","","","",""
1010030,1,11,112431,"Yay!\nLet's all do our best\nto climb to the top!",20,"","","","",""
1010031,1,91,0,"","","","","","",""
1020001,2,1,1,104431,100,0,0,1.3,0,02_uek_cmn_idol_def_N
1020002,2,3,104431,02_uek_02_ilya,0,02_uek_02_ilya_loop,0,"","",""
1020003,2,11,104431,"Hah hah hah hah!\nThis is my first step\nto world domination!",20,0,"","","",""
1020004,2,91,0,"","","",0,"","",""
1030001,3,1,1,105831,100,-140,-10,1.3,0,01_uek_cmn_idol_def_N
1030002,3,1,1,105931,100,120,10,1.3,1,01_uek_cmn_idol_def_N
1030003,3,1,1,106031,100,0,0,1.3,1,01_uek_cmn_idol_def_N
1030004,3,3,105831,01_uek_03_peko,0,01_uek_03_peko_loop,0,"","",""
1030005,3,3,106031,01_uek_03_kyaru,0,01_uek_03_kyaru_loop,0,"","",""
1030006,3,11,105831,"Hey, Karyl!\nYou've gotta take a\nlook at this view! ☆",20,0,"","","",""
1030007,3,91,0,"","","","","","",""
1030008,3,11,106031,"Hey, stop that!\nQuit pulling!\nYou'll make me fall!",20,0,"","","",""
1030009,3,91,0,"","","","","","",""
1030010,3,3,105931,01_uek_03_kokkoro,0,01_uek_cmn_idol_def_N,1,"","",""
1030011,3,11,105931,"Eheh. I feel certain\nthat more grand vistas\nawait us higher up.",20,0,"","","",""
1040001,4,1,1,101131,100,-120,-30,1.3,0,02_uek_cmn_idol_def_N
1040002,4,1,1,104931,100,20,-5,1.3,1,02_uek_cmn_idol_def_N
1040003,4,3,101131,02_uek_talk_joy2,1,"","","","",""
1040004,4,11,101131,"The Balloon Bird\ncatches the Wyvern!\nLet's get moving!",20,0,"","","",""
1040005,4,91,0,"","","","","","",""
1040006,4,3,101131,02_uek_cmn_idol_def_N,1,"","",0.2,"",""
1040007,4,3,104931,02_uek_04_shizuru,1,"","",0.2,"",""
1040008,4,11,104931,"The expression is\n""the early bird\ncatches the worm,""\nyou know, Rino...",20,0,"","","",""
1040009,4,91,0,"","","","","","",""
1040010,4,3,104931,02_uek_cmn_idol_def_N,1,"","",0.2,"",""
1050001,5,1,1,105031,100,-70,0,1.3,0,02_uek_cmn_idol_def_N
1050002,5,1,1,101631,100,70,1,1.3,1,02_uek_cmn_idol_def_N
1050003,5,3,105031,02_uek_05_misaki,0,02_uek_05_misaki_loop,-15,"","",""
1050004,5,3,101631,02_uek_05_suzuna,0,02_uek_05_suzuna_loop,0,"","",""
1050005,5,11,105031,"I'm going to climb\nthe stairs to adulthood!",20,0,"","","",""
1050006,5,91,0,"","","",0,"","",""
1050007,5,11,101631,"And I'm gonna be\nthe top of all models!",20,0,"","","",""
1060001,6,1,1,100531,100,120,25,1.3,1,02_uek_cmn_idol_def_N
1060002,6,1,1,103731,100,-20,5,1.3,0,02_uek_cmn_idol_def_N
1060003,6,3,100531,02_uek_cmn_pose04,1,"","","","",""
1060004,6,11,100531,"I'd be a lame hero\nif I couldn't brave a\nmeasly height like this!",20,0,"","","",""
1060005,6,91,0,"","","","","","",""
1060006,6,3,103731,02_uek_talk_normal,1,"","",0.2,"",""
1060007,6,11,103731,"Yes, this seems like\npretty good training.\nI'm starting to enjoy it.",20,0,"","","",""
1060008,6,91,0,"","","","","","",""
1060009,6,3,103731,02_uek_cmn_idol_def_N,1,"","",0.2,"",""
1070001,7,1,1,103831,100,-60,-20,1.3,0,02_uek_cmn_idol_def_N
1070002,7,3,103831,02_uek_07_shiori,1,"","",0.2,"",""
1070003,7,11,103831,"Huh? Hatsune...?\nWhere did she go?\nHatsuneeee~?",20,"","","","",""
1080001,8,1,1,104531,100,90,40,1.3,0,02_uek_08_kuka_loop
1080002,8,31,2,2,90,60,1,1,"",""
1080003,8,11,104531,"I-I can't get enough\nof the way these vines\nwrap around my feet...",20,0,0,"","",""
1080004,8,91,0,"","","","","","",""
1090001,9,1,2,105831,100,-195,-35,0.9,0,05_idle
1090002,9,1,2,302102,1000,150,-30,1.2,0,302102_idle
1090003,9,31,102,15,150,50,1,1,"",""
1090004,9,31,103,16,150,400,1,1,"",""
1100001,10,1,1,112531,100,-160,-25,1.3,0,01_uek_cmn_idol_def_N
1100002,10,1,1,112431,100,-40,-5,1.3,1,01_uek_cmn_idol_def_N
1100003,10,1,1,112631,100,125,20,1.3,1,01_uek_cmn_idol_def_N
1100004,10,3,112631,01_uek_talk_surprise2,1,"",0,"","",""
1100005,10,11,112631,"Wh-whoa! Are we\nstanding on clouds?\nIs that possible?!",20,0,0,"","",""
1100006,10,91,0,"","","","","","",""
1100007,10,3,112631,01_uek_cmn_idol_def_N,1,"",0,0.2,"",""
1100008,10,3,112431,01_uek_talk_joy1,1,"","","","",""
1100009,10,11,112431,"It certainly is\na funny feeling!\nSo soft and fluffy! ♪",20,0,0,"","",""
1100010,10,91,0,"","","","","","",""
1100011,10,3,112431,01_uek_cmn_idol_def_N,1,"","",0.2,"",""
1100012,10,3,112531,01_uek_talk_normal,1,"","","","",""
1100013,10,11,112531,"They seem solid enough\nto hold our weight...\nbut let's be careful.",20,0,0,"","",""
1100014,10,91,0,"","","","","","",""
1100015,10,3,112531,01_uek_cmn_idol_def_N,1,"","",0.2,"",""
1100016,10,91,0,"","","","","","",""
1110001,11,1,1,104731,100,-135,-20,1.3,0,03_uek_cmn_idol_def_N
1110002,11,1,1,107131,100,100,5,1.3,1,03_uek_cmn_idol_def_N
1110003,11,3,104731,03_uek_11_jun,0,03_uek_11_jun_loop,1,0,"",""
1110004,11,3,107131,03_uek_11_chris,0,03_uek_cmn_idol_def_N,1,0,0.2,""
1110005,11,11,104731,"Ahh... Everything has\ngone white... Chris,\nyou should be careful!",20,"",0,"","",""
1110006,11,91,0,"","","","","","",""
1110007,11,11,107131,"Hahahah. You're sinking\nfrom your armor's weight!\nLet me pull you up! ☆",20,0,0,"","",""
1110008,11,93,1.5,"","","","","","",""
1110009,11,2,104731,-135,0,1.5,1,"","",""
1110010,11,91,1110007,"","","","","","",""
1120001,12,1,1,101031,100,-120,-20,1.3,0,03_uek_cmn_idol_def_N
1120002,12,1,1,101431,100,10,-5,1.3,1,03_uek_cmn_idol_def_N
1120003,12,3,101031,03_uek_talk_joy1,1,"",0,"","",""
1120004,12,11,101031,"These clouds are\nmighty cute...\nI sure would love to\ntake one home! ♪",20,0,0,"","",""
1120005,12,91,0,"","","","","","",""
1120006,12,3,101031,03_uek_cmn_idol_def_N,1,"",0,0.2,"",""
1120007,12,3,101431,03_uek_talk_normal,1,"",0,"","",""
1120008,12,11,101431,"That may not be\nthe most realistic\nof plans...",20,0,0,"","",""
1120009,12,91,0,"","","","","","",""
1120010,12,3,101431,03_uek_cmn_idol_def_N,1,"",0,0.2,"",""
1130001,13,1,1,105831,100,-165,-45,1.3,0,01_uek_cmn_idol_def_N
1130002,13,1,1,105931,100,-45,-20,1.3,0,01_uek_cmn_idol_def_N
1130003,13,1,1,106031,100,120,-5,1.3,1,01_uek_cmn_idol_def_N
1130004,13,3,105931,01_uek_talk_normal,1,"",1,"","",""
1130005,13,11,105931,"We have now reached\nquite a remarkable\nheight. And yet...",20,0,0,"","",""
1130006,13,91,0,"","","","","","",""
1130007,13,3,105931,01_uek_13_kokkoro,0,01_uek_cmn_idol_def_N,1,0.2,"",""
1130008,13,3,106031,01_uek_13_kyaru,0,01_uek_13_kyaru_loop,1,"","",""
1130009,13,11,106031,"I still can't even\nsee the top!\nHow tall is this thing?!",20,0,0,"","",""
1130010,13,91,0,"","","","","","",""
1130011,13,3,105831,01_uek_13_peco_loop,1,"",0,"","",""
1130012,13,11,105831,"Oh, don't worry!\nFood always tastes\nbetter after exercise! ☆",20,0,0,"","",""
1130013,13,91,0,"","","","","","",""
1140001,14,1,1,104031,100,-86,-25,1.3,0,03_uek_cmn_idol_def_N
1140002,14,31,1,1,0,250,1,1,"",""
1140003,14,3,104031,03_uek_14_aoi,0,03_uek_14_aoi_loop,1,"","",""
1140004,14,11,104031,"Urgh... Does the wind\nitself have something\nagainst loners?!",20,0,0,"","",""
1150001,15,1,1,100731,100,-75,-20,1.3,0,03_uek_cmn_idol_def_N
1150002,15,1,1,103131,100,65,10,1.3,1,03_uek_15_father
1150003,15,3,100731,03_uek_15_miyako,1,"",0,"","",""
1150004,15,11,100731,"Clouds are comfys~!\nMiyako feels like\nfloating into the sky!",20,0,0,"","",""
