pattern_id,unit_id,loop_start,loop_end,atk_pattern_1,atk_pattern_2,atk_pattern_3,atk_pattern_4,atk_pattern_5,atk_pattern_6,atk_pattern_7,atk_pattern_8,atk_pattern_9,atk_pattern_10,atk_pattern_11,atk_pattern_12,atk_pattern_13,atk_pattern_14,atk_pattern_15,atk_pattern_16,atk_pattern_17,atk_pattern_18,atk_pattern_19,atk_pattern_20
10010101,100101,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10020101,100201,3,10,1002,1001,1,1,1002,1,1001,1,1,1001,0,0,0,0,0,0,0,0,0,0
10030101,100301,4,8,1,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0
10040101,100401,3,7,1002,1001,1,1,1001,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10050101,100501,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10060101,100601,3,9,1002,1001,1,1,1002,1,1001,1,1001,0,0,0,0,0,0,0,0,0,0,0
10070101,100701,6,9,1,1,1001,1,1002,1,1,1001,1002,0,0,0,0,0,0,0,0,0,0,0
10080101,100801,3,10,1001,1002,1,1001,1,1002,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0
10090101,100901,3,7,1001,1,1001,1,1001,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10100101,101001,3,10,1002,1001,1,1002,1,1,1001,1,1002,1,0,0,0,0,0,0,0,0,0,0
10110101,101101,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10120101,101201,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10130101,101301,3,7,1001,1002,1,1001,1,1002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10140101,101401,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10150101,101501,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10160101,101601,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10170101,101701,5,9,1002,1001,1,1001,1,1,1001,1,1001,0,0,0,0,0,0,0,0,0,0,0
10180101,101801,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10200101,102001,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10210101,102101,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10220101,102201,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10230101,102301,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10250101,102501,3,8,1002,1001,1,1002,1,1001,1,1001,0,0,0,0,0,0,0,0,0,0,0,0
10260101,102601,4,12,1001,1002,1,1001,1,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0
10270101,102701,3,8,1001,1002,1,1002,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0
10280101,102801,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10290101,102901,3,9,1002,1001,1,1,1002,1,1001,1,1001,0,0,0,0,0,0,0,0,0,0,0
10300101,103001,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10310101,103101,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10320101,103201,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10330101,103301,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10340101,103401,4,8,1002,1,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0
10360101,103601,3,12,1002,1001,1,1002,1001,1,1002,1001,1,1,1002,1001,0,0,0,0,0,0,0,0
10370101,103701,3,10,1002,1001,1,1002,1001,1,1002,1001,1001,1,0,0,0,0,0,0,0,0,0,0
10380101,103801,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10400101,104001,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10420101,104201,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10430101,104301,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10440101,104401,3,12,1001,1002,1,1002,1001,1,1002,1001,1,1,1002,1001,0,0,0,0,0,0,0,0
10450101,104501,3,9,1001,1002,1,1001,1002,1,1,1001,1002,0,0,0,0,0,0,0,0,0,0,0
10460101,104601,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10470101,104701,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10480101,104801,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10490101,104901,3,13,1002,1001,1,1,1002,1,1,1001,1,1,1002,1,1001,0,0,0,0,0,0,0
10500101,105001,3,7,1001,1002,1,1,1001,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10510101,105101,3,7,1002,1001,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0
10520101,105201,2,7,1001,1,1002,1,1002,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
10530101,105301,4,6,1001,1,1002,1,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10540101,105401,4,11,1001,1,1002,1,1,1002,1,1,1002,1,1001,0,0,0,0,0,0,0,0,0
