unit_id,unit_name,bg_id,bg_name,position,face_type
100101,"Hiyori Harusaki",500040,"Landosol - Guildhouse",0.0,9
100201,"Yui Kusano",500040,"Landosol - Guildhouse",0.0,4
100301,"Rei Shijo",500040,"Landosol - Guildhouse",0.0,3
100401,"Misogi Hodaka",500140,"Prano Plains",0.0,4
100501,"Matsuri Orihara",500090,"Landosol - Palace Entrance",0.0,4
100601,"Akari Kazemiya",500260,"Ancient Castle",0.0,4
100701,"Miyako Izumo",500260,"Ancient Castle",0.0,4
100801,"Yuki Nijimura",500140,"Prano Plains",0.0,4
100901,"Anna Hiragi",500050,"Landosol - Restaurant",0.0,3
101001,"Maho Himemiya",500060,"Caon Headquarters",0.0,4
101101,"Rino Inosaki",500030,"Landosol - Business District",0.0,4
101201,"Hatsune Kashiwazaki",500180,"Elven Forest",0.0,3
101301,"Nanaka Tanno",500050,"Landosol - Restaurant",0.0,2
101401,"Kasumi Kirihara",500060,"Caon Headquarters",0.0,4
101501,"Misato Aikawa",500180,"Elven Forest",0.0,4
101601,"Suzuna Minami",500080,"Lucent Academy",0.0,9
101701,"Kaori Kyan",500060,"Caon Headquarters",0.0,4
101801,"Io Hasekura",500080,"Lucent Academy",0.0,4
102001,"Mimi Akane",500140,"Prano Plains",0.0,2
102101,"Kurumi Kuribayashi",500110,"Sarendia Orphanage - Main Hall",0.0,5
102201,"Yori Kazemiya",500260,"Ancient Castle",0.0,4
102301,"Ayane Hojo",500110,"Sarendia Orphanage - Main Hall",0.0,4
102501,"Suzume Amano",500110,"Sarendia Orphanage - Main Hall",0.0,4
102601,"Rin Morichika",500150,"Elizabeth Park",0.0,3
102701,"Eriko Kuraishi",500050,"Landosol - Restaurant",0.0,4
102801,"Saren Sasaki",500110,"Sarendia Orphanage - Main Hall",0.0,4
102901,"Nozomi Sakurai",500010,"Landosol - Residential District",0.0,1
103001,"Ninon Joubert",500140,"Prano Plains",0.0,4
103101,"Shinobu Kamiki",500260,"Ancient Castle",0.0,4
103201,"Akino Todo",500070,"Mercurius Foundation Headquarters",0.0,4
103301,"Mahiru Noto",500150,"Elizabeth Park",0.0,9
103401,"Yukari Ayase",500070,"Mercurius Foundation Headquarters",0.0,4
103601,"Kyoka Hikawa",500140,"Prano Plains",0.0,1
103701,"Tomo Mikuma",500090,"Landosol - Palace Entrance",0.0,2
103801,"Shiori Kashiwazaki",500150,"Elizabeth Park",0.0,2
104001,"Aoi Futaba",500180,"Elven Forest",0.0,2
104201,"Chika Misumi",500010,"Landosol - Residential District",0.0,4
104301,"Makoto Aki",500060,"Caon Headquarters",0.0,2
104401,"Illya Ornstein",500260,"Ancient Castle",0.0,4
104501,"Kuka Tomi",500140,"Prano Plains",0.0,4
104601,"Tamaki Miyasaka",500070,"Mercurius Foundation Headquarters",0.0,3
104701,"Jun Shirogane",500090,"Landosol - Palace Entrance",0.0,1
104801,"Mifuyu Ogami",500070,"Mercurius Foundation Headquarters",0.0,2
104901,"Shizuru Hoshino",500030,"Landosol - Business District",0.0,4
105001,"Misaki Tamaizumi",500080,"Lucent Academy",0.0,2
105101,"Mitsuki Yoigahama",500050,"Landosol - Restaurant",0.0,6
105201,Lima,500150,"Elizabeth Park",0.0,9
105301,"Monika Weisswind",500140,"Prano Plains",0.0,2
105401,"Tsumugi Mayumiya",500010,"Landosol - Residential District",0.0,9
105501,"Ayumi Ishibashi",500140,"Prano Plains",0.0,15
105601,"Ruka Tachiarai",500050,"Landosol - Restaurant",0.0,3
105701,Djeeta,500200,"Brisa Canyon",0.0,4
105801,Pecorine,500130,"Esterella Road",0.0,3
105901,Kokkoro,500130,"Esterella Road",0.0,2
106001,Karyl,500130,"Esterella Road",0.0,3
106101,Muimi,500341,"Labyrinth Hideout",0.0,20
106301,Arisa,500170,"Mysterion Woods",0.0,3
106801,"Akira Mosakuji",500030,"Landosol - Business District",0.0,2
107101,"Christina Morgan",500090,"Landosol - Palace Entrance",0.0,2
107501,"Pecorine (Summer)",500164,"Marjan Coast",0.0,4
107601,"Kokkoro (Summer)",500164,"Marjan Coast",0.0,4
107701,"Suzume (Summer)",500164,"Marjan Coast",0.0,4
107801,"Karyl (Summer)",500164,"Marjan Coast",0.0,6
107901,"Tamaki (Summer)",500284,"Desert Island",0.0,2
108001,"Mifuyu (Summer)",500284,"Desert Island",0.0,2
108101,"Shinobu (Halloween)",500264,"Ancient Castle (Halloween)",0.0,4
108201,"Miyako (Halloween)",500264,"Ancient Castle (Halloween)",0.0,4
108301,"Misaki (Halloween)",505030,"Landosol - Business District (Halloween)",0.0,2
108401,"Chika (Holiday)",500114,"Sarendia Orphanage - Main Hall (Holiday)",0.0,2
108501,"Kurumi (Holiday)",500114,"Sarendia Orphanage - Main Hall (Holiday)",0.0,4
108601,"Ayane (Holiday)",500114,"Sarendia Orphanage - Main Hall (Holiday)",0.0,4
108701,"Hiyori (New Year)",500553,"New Year's Temple",0.0,4
108801,"Yui (New Year)",500553,"New Year's Temple",0.0,4
108901,"Rei (New Year)",500553,"New Year's Temple",0.0,2
109001,"Eriko (Valentine)",500600,"Kitchen Stadium",0.0,4
109101,"Shizuru (Valentine)",500600,"Kitchen Stadium",0.0,4
109201,Anne,500133,"Esterella Road",0.0,2
109301,Lou,500133,"Esterella Road",0.0,4
109401,Grea,500133,"Esterella Road",0.0,4
109501,"Kuka (Oedo)",500650,"Streets of Oedo",0.0,4
109601,"Ninon (Oedo)",500650,"Streets of Oedo",0.0,2
109701,Rem,500175,"Mysterion Woods",0.0,2
109801,Ram,500175,"Mysterion Woods",0.0,12
109901,Emilia,500175,"Mysterion Woods",0.0,2
110001,"Suzuna (Summer)",500683,"Beach - Stage",0.0,4
110101,"Io (Summer)",500683,"Beach - Stage",0.0,2
110301,"Saren (Summer)",500164,"Marjan Coast",0.0,2
110401,"Makoto (Summer)",500710,"Okinawa-esque Coast",0.0,6
110501,"Kaori (Summer)",500710,"Okinawa-esque Coast",0.0,4
