id,unit_id,use_type,voice_id,face_id,change_time,change_face,description
1001001,100101,1,1,1,4.0,2,"As long as my friends are smiling, I can keep smiling! So c'mon, let's see a nice big smile on your face!"
1001002,100101,1,2,1,3.0,2,"Friends help friends out! You can always come to me if you're in trouble—I'll come up with something!"
1001003,100101,1,3,1,7.5,2,"Gotta stay full of energy! But when you're tired, it's best to get some rest. Me? I'm not sleepy yet!"
1001004,100101,1,4,5,6.0,2,"Hey, wanna hear a secret? When I'm with you, life seems twice as fun! Eheheh... Thanks a bunch!"
1001005,100101,1,5,4,6.0,6,"It's weird... Sometimes I get this fuzzy feeling in my chest. I haven't caught a cold or something, have I?!"
1001006,100131,1,1,1,0.0,1,"I wanna get stronger! That way I can make sure we all stay smiling forever!"
1001007,100131,1,2,1,0.0,1,"I don't mind getting a little beaten up! As long as I know you've got my back, I can always keep fighting!"
1001008,100131,1,3,1,0.0,1,"Just having you nearby fills me with a million times my usual energy! ...OK, maybe not quite that much."
1001009,100131,1,4,1,0.0,1,"I can hear your voice cheering me on... Even when we're apart, I can always tell you're there for me!"
1001010,100131,1,5,1,0.0,1,"No matter who I'm up against, I feel like I can't lose! Not now that I have someone to support me!"
1001011,100101,2,6,1,11.3,2,"Happy birthday, Mr. Knight! What kind of present you after? Food? Equipment? Or... I know! Let's train together!"
1001012,100131,2,6,1,0.0,1,"Happy birthday to you! Here, have this cat charm! It'll watch over you even when I'm not around!"
1002001,100201,1,1,4,6.0,5,"U-um... You want to hang out with me? Are you sure? Well... thanks!"
1002002,100201,1,2,2,4.0,5,"If you're heading to battle, I'll handle healing and support! As for attacking, um... I might need some help."
1002003,100201,1,3,4,4.0,8,"P-please, don't stare at me like that... It's embarrassing... Ahhhh..."
1002004,100201,1,4,1,4.0,2,"Are you feeling hungry? Let me know when you are! I can always whip up a little snack!"
1002005,100201,1,5,1,3.0,5,"Do you need help with anything? If you're heading off somewhere, I'd love to keep you company..."
1002006,100231,1,1,1,0.0,1,"Let me know if there's anything you need me for! I can heal up little cuts and scratches in no time!"
1002007,100231,1,2,1,0.0,1,"If it's for your sake, Mr. Knight, I... I feel like I can go the extra mile!"
1002008,100231,1,3,1,0.0,1,"Healing light, come forth! H-huh? Just seeing my face makes you feel better? Stop... You're making me blush..."
1002009,100231,1,4,1,0.0,1,"Hmm, what kind of magic should I study next? L-love magic, maybe? N-no, I'm sure there's no such thing!"
1002010,100231,1,5,1,0.0,1,"I've been learning protective magic! Spells to protect from fire, cold, heat... And, um, fish bones. They can really hurt your throat..."
1002011,100201,2,6,1,7.9,5,"Mr. Knight! Happy birthday! Um, I... I made you a cake! I hope it tastes alright..."
1002012,100231,2,6,1,0.0,1,"Happy birthday, Mr. Knight! I made a cake, and lots of other treats so we can all celebrate together!"
1003001,100301,1,1,1,4.0,2,"I'll put in as much effort as it takes to achieve my goals. I think that's a good attitude to have—you should try it too."
1003002,100301,1,2,2,4.5,6,"Could you help me come up with a new training plan? I'm trying to find a good location..."
1003003,100301,1,3,1,4.5,2,"The desire to become stronger is what matters. As long as you don't lose sight of it, you'll become stronger too."
1003004,100301,1,4,6,2.0,2,"I'm not sure why, but when I cross swords with you, it feels almost like dancing."
1003005,100301,1,5,1,4.5,2,"Do you want to go fishing with me? I enjoy fishing alone as well, but I'd like to share it with you..."
1003006,100331,1,1,1,0.0,1,"Ready your weapon! If you ever plan to land a clean blow on me, there's no time to waste!"
1003007,100331,1,2,1,0.0,1,"That unrelenting look in your eyes... You really are quite something. I knew I was right about you."
1003008,100331,1,3,1,0.0,1,"You can become so much stronger—I know you haven't reached your limit yet. So go ahead and prove it to me."
1003009,100331,1,4,1,0.0,1,"(Such an odd feeling... It's like I want to keep doing this forever. But that's not realistic, of course.)"
1003010,100331,1,5,1,0.0,1,"I know I said I would do anything you asked... But nothing indecent, all right?"
1003011,100301,2,6,2,2.6,5,"Happy birthday. I'm afraid I wasn't sure what to get you for a present... How about we go out somewhere instead?"
1003012,100331,2,6,1,0.0,1,"I hear it's your birthday, so let's take a break from training today. ...Hmm? Does that not make you happy?"
1004001,100401,1,1,1,2.5,2,"Oh, hey there, mister! What d'you wanna play today?"
1004002,100401,1,2,4,4.0,4,"Urghhhh... I accidentally ate my own super-spicy prank candy..."
1004003,100401,1,3,1,6.0,6,"Yay, my prank's all ready to go! Now if I just wait for him to show up... Gah! Did you see the whole thing?"
1004004,100401,1,4,1,4.5,2,"I set up pranks... You fall for them... Yep, we're the perfect team!"
1004005,100401,1,5,5,4.0,2,"Let's play together lots and lots more! It's a promise! C'mon, you gotta pinky swear!"
1004006,100431,1,1,1,0.0,1,"Misogi Explorers, assemble! ...Pretty easy to assemble when it's just the two of us, huh?"
1004007,100431,1,2,1,0.0,1,"I'm looking forward to toying with you lots and lots more! Ah, sorry, I meant ""playing with."" Honest!"
1004008,100431,1,3,1,0.0,1,"C'mon, mister! Hurry up! Let's go exploring! I've been waiting for you!"
1004009,100431,1,4,1,0.0,1,"Since I like you so much, I'm gonna come up with lots more pranks just for you!"
1004010,100431,1,5,1,0.0,1,"When I play with you, it's almost like I've got a big brother! I love it!"
1004011,100401,2,6,1,7.6,2,"Happy birthday, mister! Here's your present! And here's your cake! Go on, open them! Heheheh..."
1004012,100431,2,6,1,0.0,1,"Happy birthday! I love you, mister! Honest! ...Maybe it's hard to believe me after I pranked you so many times..."
1005001,100501,1,1,1,4.6,2,"If you're ever in trouble,\nyou can always call on me!\nI may only be an apprentice knight, but I'm a hero at heart!"
1005002,100501,1,2,1,3.2,2,"Let's go take down some evil organizations! We're still barely halfway to being true heroes, but two halves make a whole!"
1005003,100501,1,3,1,8.8,4,"My mom and dad always want me to wear cute outfits. All covered in ribbons and lace... Simple and practical is more my style!"
1005004,100501,1,4,1,4.6,5,"We should go somewhere quiet together once in a while. Even heroes need to rest sometimes!"
1005005,100501,1,5,4,9.8,5,"I really wanna play with you\nall day long! But if we get any closer, you'll find out my...\nN-no! I didn't say anything!"
1005006,100531,1,1,1,0.0,1,"Haaahhhh!\nAs long as we have the\ncourage to stand up to evil,\njustice will always prevail!"
1005007,100531,1,2,1,0.0,1,"Yeeeaahhh! I'm getting fired up! Let's blaze down the path to true herodom!"
1005008,100531,1,3,1,0.0,1,"If world peace is at stake,\nI won't lose to any villain!\nA true hero never goes back\non her word!"
1005009,100531,1,4,1,0.0,1,"With the courage you give me,\nI'll transform into the world's greatest hero!"
1005010,100531,1,5,1,0.0,1,"Being with you gives me a hundred... no, a million times\nmy usual courage!\nSo you gotta stick with me!"
1005011,100501,2,6,1,5.3,2,"Huh? It's your birthday today?! Then I'll give you my coolest\nTora Tiger merch!\nIt's a token of our friendship!"
1005012,100531,2,6,1,0.0,1,"Happy birthday!\nI brought a special Tora Tiger cupcake just for you!\nI even baked it myself..."
1006001,100601,1,1,5,3.5,2,"Say, would you come help me with my saxophone practice later?"
1006002,100601,1,2,4,5.0,5,"*pant... pant...* That's enough sax for now... You really know how to wear a girl out..."
1006003,100601,1,3,6,3.0,4,"What? You want to keep going? But I'm so worn out... I don't have much more in me..."
1006004,100601,1,4,5,5.5,2,"You always push me so hard, it makes me all sweaty... My heart's pounding like crazy..."
1006005,100601,1,5,3,4.5,4,"Say, if you had to choose between me and my sister, which would you... Ah, no, it's nothing."
1006006,100631,1,1,1,0.0,1,"Heheh, look what I can do! Put on a little jazzy music for the... Akari Pole-Dance Extravaganza!"
1006007,100631,1,2,1,0.0,1,"You really want to see me do it, huh? Okay then... It's a little embarrassing, but... Here I go! Akari 360° Flip!"
1006008,100631,1,3,1,0.0,1,"*pant... pant...* My poor body can't take any more... With you cheering me on, I might have gone a bit too far!"
1006009,100631,1,4,1,0.0,1,"N-now I'm feeling dizzy... Hold me tight before I fall over! It's the least you can do after putting me in this state!"
1006010,100631,1,5,1,0.0,1,"I wouldn't let just anyone see me do all this, you know? You're special, that's why I want to show you... everything."
1006011,100601,2,6,1,5.9,5,"Oh! Is it just me, or does something about you seem a little... bigger today? You're making me get all excited!"
1006012,100631,2,6,1,0.0,1,"It's your special day today, isn't it? Happy birthday! Now we can do even more... grown-up things together!"
1007001,100701,1,1,1,4.5,2,"My favoritest thing is pudding! Second up is pudding, third and fourth is pudding, and fifth is... more pudding!"
1007002,100701,1,2,1,6.0,2,"Flying through the air is the best! Playing tricks is the best too! But pudding... Pudding is the bestestest!"
1007003,100701,1,3,7,5.0,6,"Monsters were chasing me! I thought I was a goner! But then I remembered, I'm already a goner!"
