unit_id,unit_name,kana,prefab_id,is_limited,rarity,motion_type,se_type,move_speed,search_area_width,atk_type,normal_atk_cast_time,cutin_1,cutin_2,guild_id,exskill_display,comment,only_disp_owned,start_time,end_time
100101,Hiyori,Hiyori,100101,0,1,1,1,450,200,1,2.295,100101,0,7,0,"[Physical] A cheerful girl who fights from the vanguard to push back the enemy's front lines. An offensive fighter with a Union Burst that hits the vanguard hard and skills that enhance her own attack power.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100201,Yui,Yui,100201,0,1,7,7,450,800,2,2.27,100201,0,7,0,"[Magic] A mage who heals and supports her allies from the rearguard. Though lacking in defensive capabilities, she boasts high attack strength, allowing her to provide both support and firepower at higher ranks.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100301,Rei,Rei,100301,0,1,4,4,450,250,1,1.965,100301,0,7,0,"[Physical] An aloof swordswoman who deals strong, singular blows from the vanguard. Her Union Burst and skills excel at felling enemies directly before her, allowing her to push forward with attacks and counters.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100401,Misogi,Misogi,100401,0,1,1,1,450,205,1,2.17,100401,0,13,0,"[Physical] A little prankster who gets up close and personal to obstruct the enemy's physical attacks. By inflicting Blind, she obliterates the foe's ability to aim effectively, and she can also decrease an enemy's attack stat directly.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100501,Matsuri,Matsuri,100501,0,2,2,2,450,185,1,2.125,100501,0,2,0,"[Physical] An apprentice knight who fights in the vanguard, disrupting the enemy with her nimble movements. For her Union Burst, she leaps right into the middle of enemy lines, where her skills can assault enemies all around her.",0,"2021/09/07 23:00:00","2030/12/31 15:00:00"
100601,Akari,Akari,100601,0,2,6,6,450,570,2,2.19,100601,0,14,0,"[Magic] A younger twin who strengthens magic-oriented parties from the midguard. Has skills that drastically reduce enemy magic defense and a Union Burst that boosts magic attack and grants a healing effect.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100701,Miyako,Miyako,100701,0,2,3,3,450,125,1,1.7,100701,0,14,0,"[Physical] A ghostly girl who stands on the front lines and dodges enemy attacks. When she transforms into a ghost, no attacks can hit her, and her Union Burst lets her turn the enemy into pudding and eat them!",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100801,Yuki,Yuki,100801,0,2,7,7,450,805,2,2.07,100801,0,12,0,"[Magic] A living work of art that buffs physical parties from the rearguard. Uses skills that allow allies to use Union Bursts more quickly, and hampers enemy offense with blinding status effects.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100901,Anna,Anna,100901,0,3,5,5,450,440,2,2.25,100901,0,11,0,"[Magic] Hecate of the Gale, who attacks from the midguard with overwhelming magical force. Her Union Burst deals massive damage to all enemies, but is also risky for her due to its uncontrollable strength.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
101001,Maho,Maho,101001,0,3,7,7,450,795,2,2.27,101001,0,4,0,"[Magic] A girl right out of a fairy tale that supports the party from the rearguard. Turns the tide of battle with a Union Burst that buffs all allies and recovers TP as well as skills that recover HP and blind foes.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
101101,Rino,Rino,101101,0,3,8,8,450,700,1,1.97,101101,0,6,0,"[Physical] A little sister-type archer who rains arrows on foes from the rearguard. Has stackable skills that boost critical hit rate, enhancing Union Bursts that deal multiple hits.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
101201,Hatsune,Hatsune,101201,0,3,7,7,450,755,2,2.07,101201,0,9,0,"[Magic] A super-powered girl who works best from the rearguard in anti-physical parties. Her skills ensnare entire parties of physical attackers, allowing everyone to punish them to maximum effect.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
101301,Nanaka,Nanaka,101301,0,2,7,7,450,740,2,2.07,101301,0,9,0,"[Magic] A nerdy magical girl who unleashes a variety of spells from the rearguard. Her Union Burst and skills feature high-powered magical attacks that strategically target the enemy with the greatest remaining HP.",0,"2021/11/11 23:00:00","2030/12/31 15:00:00"
101401,Kasumi,Kasumi,101401,0,3,7,7,450,730,2,2.27,101401,0,9,0,"[Magic] A great detective who specializes in obstructing the enemy's actions from the rearguard. Her skills inflict Bind and Confusion to prevent enemy attacks from succeeding, while she deploys a field to lower their magical defense, leaving them utterly helpless.",0,"2022/02/14 23:00:00","2030/12/31 15:00:00"
101501,Misato,Misato,101501,0,2,9,7,450,735,2,2.27,101501,0,9,0,"[Magic] A beloved teacher who supports magic characters from the rearguard. Between her Union Burst that heals HP and boosts magical defense, and her HP regen skill for vanguard allies, she greatly enhances party durability.",0,"2021/04/11 23:00:00","2030/12/31 15:00:00"
101601,Suzuna,Suzuna,101601,0,2,8,8,450,705,1,1.97,101601,0,15,0,"[Physical] A charming model that deals critical damage from the rearguard. Her double-damage critical hits are further enhanced by attack power-boosting skills.",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
