id,gacha_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3
1,30001,1,"2021/01/19 23:00:00","2021/01/29 22:59:59",380000,380000,0,0,0,0
2,30002,1,"2021/01/29 23:00:00","2021/02/08 22:59:59",380000,380000,0,0,0,0
3,30003,1,"2021/02/08 23:00:00","2021/02/17 22:59:59",380000,380000,0,0,0,0
4,30004,1,"2021/02/17 23:00:00","2021/03/04 22:59:59",380000,380000,0,0,0,0
5,30005,1,"2021/03/04 23:00:00","2021/03/22 22:59:59",380000,380000,0,0,0,0
6,30006,1,"2021/03/22 23:00:00","2021/04/11 22:59:59",380000,380000,0,0,0,0
7,30007,1,"2021/04/11 23:00:00","2021/04/28 22:59:59",380000,380000,0,0,0,0
8,30008,1,"2021/04/28 23:00:00","2021/05/18 22:59:59",380000,380000,0,0,0,0
9,30009,1,"2021/05/18 23:00:00","2021/06/03 22:59:59",380000,380000,0,0,0,0
10,30010,1,"2021/06/03 23:00:00","2021/06/22 22:59:59",380000,380000,0,0,0,0
11,30011,1,"2021/06/22 23:00:00","2021/07/09 22:59:59",380000,380000,0,0,0,0
12,30012,1,"2021/07/09 23:00:00","2021/08/01 22:59:59",380000,380000,0,0,0,0
13,30014,1,"2018/08/31 12:00:00","2018/08/31 12:00:59",380000,380000,0,0,0,0
14,40001,1,"2021/08/01 23:00:00","2021/08/18 22:59:59",380000,380000,0,0,0,0
15,30014,1,"2021/08/18 23:00:00","2021/09/07 22:59:59",380000,380000,0,0,0,0
16,30015,1,"2021/09/07 23:00:00","2021/09/24 22:59:59",380000,380000,0,0,0,0
17,30016,1,"2021/09/24 23:00:00","2021/10/12 22:59:59",380000,380000,0,0,0,0
18,30017,1,"2021/10/12 23:00:00","2021/10/25 22:59:59",380000,380000,0,0,0,0
19,50018,2,"2021/10/25 23:00:00","2021/10/28 22:59:59",380000,0,380000,380000,0,0
20,30019,1,"2021/10/28 23:00:00","2021/11/11 22:59:59",380000,380000,0,0,0,0
21,30020,1,"2021/11/11 23:00:00","2021/11/22 22:59:59",380000,380000,0,0,0,0
22,30021,1,"2021/11/22 23:00:00","2021/12/07 22:59:59",380000,380000,0,0,0,0
23,30022,1,"2021/12/07 23:00:00","2021/12/20 22:59:59",380000,380000,0,0,0,0
24,50023,2,"2021/12/20 23:00:00","2021/12/23 22:59:59",380000,0,380000,380000,0,0
25,30025,1,"2022/01/05 23:00:00","2022/01/18 22:59:59",380000,380000,0,0,0,0
26,30026,1,"2022/01/18 23:00:00","2022/02/01 22:59:59",380000,380000,0,0,0,0
27,50027,2,"2022/02/01 23:00:00","2022/02/14 22:59:59",380000,0,380000,380000,0,0
28,30028,1,"2022/02/14 23:00:00","2022/03/01 22:59:59",380000,380000,0,0,0,0
29,30029,1,"2022/03/01 23:00:00","2022/03/10 22:59:59",380000,380000,0,0,0,0
31,30031,1,"2022/03/10 23:00:00","2022/03/23 22:59:59",380000,380000,0,0,0,0
32,30032,1,"2022/03/23 23:00:00","2022/04/05 22:59:59",380000,380000,0,0,0,0
33,50033,2,"2022/04/05 23:00:00","2022/04/12 22:59:59",380000,0,380000,380000,0,0
34,30035,1,"2022/04/18 23:00:00","2022/04/22 22:59:59",380000,380000,0,0,0,0
35,30036,1,"2022/04/22 23:00:00","2022/05/02 22:59:59",380000,380000,0,0,0,0
36,30037,1,"2022/05/02 23:00:00","2022/05/15 22:59:59",380000,380000,0,0,0,0
37,30038,1,"2022/05/15 23:00:00","2022/05/19 22:59:59",380000,380000,0,0,0,0
38,30039,1,"2022/05/19 23:00:00","2022/06/01 22:59:59",380000,380000,0,0,0,0
39,30040,1,"2022/06/01 23:00:00","2022/06/14 22:59:59",380000,380000,0,0,0,0
40,30041,1,"2022/06/14 23:00:00","2022/06/19 22:59:59",380000,380000,0,0,0,0
41,30042,1,"2022/06/19 23:00:00","2022/07/04 22:59:59",380000,380000,0,0,0,0
42,30043,1,"2022/07/04 23:00:00","2022/07/14 22:59:59",380000,380000,0,0,0,0
43,30044,1,"2022/07/14 23:00:00","2022/07/19 22:59:59",380000,380000,0,0,0,0
44,40002,1,"2022/07/19 23:00:00","2022/07/30 22:59:59",380000,380000,0,0,0,0
45,30046,1,"2022/07/30 23:00:00","2022/08/04 22:59:59",380000,380000,0,0,0,0
46,50047,2,"2022/08/04 23:00:00","2022/08/07 22:59:59",380000,0,380000,380000,0,0
47,30048,1,"2022/08/07 23:00:00","2022/08/15 22:59:59",380000,380000,0,0,0,0
48,30049,1,"2022/08/15 23:00:00","2022/08/19 22:59:59",380000,380000,0,0,0,0
49,30050,1,"2022/08/19 23:00:00","2022/09/01 22:59:59",380000,380000,0,0,0,0
51,30052,1,"2022/09/01 23:00:00","2022/09/12 22:59:59",380000,380000,0,0,0,0
52,30053,1,"2022/09/12 23:00:00","2022/09/17 22:59:59",380000,380000,0,0,0,0
53,30054,1,"2022/09/17 23:00:00","2022/10/02 22:59:59",380000,380000,0,0,0,0
54,30055,1,"2022/10/02 23:00:00","2022/10/13 22:59:59",380000,380000,0,0,0,0
55,30056,1,"2022/10/13 23:00:00","2022/10/17 22:59:59",380000,380000,0,0,0,0
56,30057,1,"2022/10/17 23:00:00","2022/11/01 22:59:59",380000,380000,0,0,0,0
57,30058,1,"2022/11/01 23:00:00","2022/11/12 22:59:59",380000,380000,0,0,0,0
58,30059,1,"2022/11/12 23:00:00","2022/11/22 22:59:59",380000,380000,0,0,0,0
59,30060,1,"2022/11/22 23:00:00","2022/12/03 22:59:59",380000,380000,0,0,0,0
60,50061,2,"2022/12/03 23:00:00","2022/12/06 22:59:59",380000,0,380000,380000,0,0
61,30063,1,"2022/12/13 23:00:00","2022/12/19 22:59:59",380000,380000,0,0,0,0
62,30064,1,"2022/12/19 23:00:00","2023/01/04 22:59:59",380000,380000,0,0,0,0
63,30065,1,"2023/01/04 23:00:00","2023/01/14 22:59:59",380000,380000,0,0,0,0
64,30066,1,"2023/01/14 23:00:00","2023/01/19 22:59:59",380000,380000,0,0,0,0
