unit_id,unit_name,age,guild,race,height,weight,birth_month,birth_day,blood_type,favorite,voice,voice_id,catch_copy,self_text,guild_id
100101,Hiyori,16,"Twinkle Wish",beastfolk,155,44,8,27,A,"helping others, cheering","Nao Toyama",0,"An optimistic fighter who loves helping people","",2
100201,Yui,17,"Twinkle Wish",humanfolk,158,47,4,5,O,"cooking, people watching","Risa Taneda",0,"A kind girl who excels at combat support","",2
100301,Rei,18,"Twinkle Wish",demonfolk,163,46,1,12,B,"reading, riding horses, tea","Saori Hayami",0,"A cool-headed swordswoman who faces everything head-on","",2
100401,Misogi,9,"Little Lyrical",humanfolk,128,27,8,10,O,"pranks, exploring","Sumire Morohoshi",0,"A prankster who loves exploring","",5
100501,Matsuri,12,"Nightmare, Defenders of the Throne",beastfolk,146,40,11,25,O,"playing hero","Asami Shimoda",0,"A knight-in-training who idolizes heroes","",8
100601,Akari,13,Diabolos,demonfolk,150,42,11,22,O,"the saxophone","Azumi Asakura",0,"The town darling who everyone wants to dote on","",7
100701,Miyako,14,Diabolos,demonfolk,130,32,1,23,B,"eating pudding","Sora Amamiya",0,"A ghost girl who loves pudding","",7
100801,Yuki,14,"Weissflügel (Landosol Branch)",elvenfolk,150,40,10,10,AB,"looking at himself in the mirror","Naomi Ozora",0,"Believes himself to be the fairest of them all","",15
100901,Anna,17,"Twilight Caravan",demonfolk,159,45,7,5,A,"writing novels","Asami Takano",0,"A delusional girl who believes she was a hero in a previous life, ""Hecate of the Gale""","",13
101001,Maho,16,Caon,beastfolk,155,42,9,22,O,"daydreaming, collecting plushies","Maaya Uchida",0,"The Princess of the Maho-Maho Kingdom","",10
101101,Rino,15,Labyrinth,humanfolk,156,44,8,25,A,sewing,"Kana Asumi",0,"A little sister-type who's friendly and talkative","",3
101201,Hatsune,17,Forestier,elvenfolk,156,46,12,24,A,"playing with her little sister, sleeping in, naps, going to bed early","Ayaka Ohashi",0,"A sleeping beauty who uses her superpowers to help others","",6
101301,Nanaka,18,"Twilight Caravan",demonfolk,166,55,8,21,O,"reading, magic","Haruka Yoshimura",0,"A magical girl who lets her nerd flag fly","",13
101401,Kasumi,18,Caon,beastfolk,152,41,11,3,AB,"reading, reasoning","Inori Minase",0,"A brilliant, beautiful detective","",10
101501,Misato,21,Forestier,elvenfolk,165,54,9,5,O,"making picture books","Mariko Kouda",0,"A motherly figure known to all as Miss Misato","",6
101601,Suzuna,18,"Lucent Academy",demonfolk,167,48,4,10,O,fashion,"Sumire Uesaka",0,"A charismatic fashion model who's naïve yet popular","",14
101701,Kaori,19,Caon,beastfolk,158,53,7,7,A,"dancing, karate","Natsumi Takamori",0,"A natural airhead who always believes things will work out","",10
101801,Io,23,"Lucent Academy",demonfolk,162,52,8,14,B,"romance novels, romance plays, romance manga","Shizuka Ito",0,"A pure-hearted teacher who charms the hearts of men","",14
102001,Mimi,10,"Little Lyrical",beastfolk,117,21,4,3,O,"collecting cute things","Rina Hidaka",0,"Loves singing, carrots, and rabbits","",5
102101,Kurumi,12,"Sarendia Orphanage",humanfolk,150,40,6,9,B,"watching plays, playing house","Kana Ueda",0,"A cowardly crybaby you can't help wanting to protect","",9
102201,Yori,13,Diabolos,demonfolk,150,40,11,22,O,"all games","Sayuri Hara",0,"A timid girl who's scared of strangers","",7
102301,Ayane,14,"Sarendia Orphanage",humanfolk,148,38,5,10,B,"indoor activities","Yu Serizawa",0,"Together forever with Pukichi!","",9
102501,Suzume,15,"Sarendia Orphanage",humanfolk,154,43,12,12,O,"serving others","Aoi Yuki",0,"A clumsy maid who works hard for her mistress","",9
102601,Rin,17,"Elizabeth Park",beastfolk,144,42,1,1,B,"Sweet Bun","Kotori Koiwai",0,"A lazybones who values play and sleep above all else","",11
102701,Eriko,16,"Twilight Caravan",demonfolk,154,43,7,30,B,"experimenting, sewing, cooking","Chinami Hashimoto",0,"A girl who's obsessed with her soulmate","",13
102801,Saren,17,"Sarendia Orphanage",elvenfolk,156,43,10,4,A,"management, tea parties","Yui Horie",0,"A kind, humble young lady who runs an orphanage","",9
102901,Nozomi,17,Carmina,humanfolk,157,40,1,24,B,"watching stage performances, dancing","Yoko Hikasa",0,"A popular idol known for her singing and dancing","",4
103001,Ninon,16,"Weissflügel (Landosol Branch)",humanfolk,163,51,8,31,O,"developing ninja arts","Satomi Sato",0,"Teach me all the mysteries of Togoku!","",15
103101,Shinobu,18,Diabolos,demonfolk,157,42,12,22,AB,fortune-telling,"Yuka Otsubo",0,"A medium who's skilled at fortune-telling","",7
103201,Akino,18,"Mercurius Foundation",humanfolk,157,45,3,12,AB,"charitable works","Rei Matsuzaki",0,"A powerful young lady who aims to become a full-fledged merchant","",12
