group_id,group_id_comment,group_unit_id_01,group_unit_id_02,group_unit_id_03,group_unit_id_04,group_unit_id_05
20001,"Hatsune & Shiori",101201001,103801001,0,0,0
20002,"Shizuru & Rino",101101001,104901001,0,0,0
20003,"Saren & Suzume",102801001,102501001,0,0,0
20004,"Yori & Akari",100601001,102201001,0,0,0
20005,"Pecorine & Kokkoro",105801001,105901001,0,0,0
20006,"Pecorine & Karyl",105801001,106001001,0,0,0
20007,"Kokkoro & Karyl",105901001,106001001,0,0,0
20008,"Hiyori & Yui",100101001,100201001,0,0,0
20009,"Hiyori & Rei",100101001,100301001,0,0,0
20010,"Yui & Rei",100201001,100301001,0,0,0
20013,"Nozomi & Chika",102901001,104201001,0,0,0
20014,"Nozomi & Tsumugi",102901001,105401001,0,0,0
20015,"Chika & Tsumugi",104201001,105401001,0,0,0
20016,"Mimi & Misogi",102001001,100401001,0,0,0
20017,"Mimi & Kyoka",102001001,103601001,0,0,0
20018,"Misogi & Kyoka",100401001,103601001,0,0,0
20019,"Misato & Hatsune",101501001,101201001,0,0,0
20020,"Misato & Aoi",101501001,104001001,0,0,0
20021,"Hatsune & Aoi",101201001,104001001,0,0,0
20022,"Illya & Yori",104401001,102201001,0,0,0
20023,"Illya & Akari",104401001,100601001,0,0,0
20024,"Illya & Shinobu",104401001,103101001,0,0,0
20025,"Illya & Miyako",104401001,100701001,0,0,0
20026,"Yori & Shinobu",102201001,103101001,0,0,0
20027,"Yori & Miyako",102201001,100701001,0,0,0
20028,"Akari & Shinobu",100601001,103101001,0,0,0
20029,"Akari & Miyako",100601001,100701001,0,0,0
20030,"Shinobu & Miyako",103101001,100701001,0,0,0
20031,"Jun & Christina",104701001,107101001,0,0,0
20032,"Jun & Tomo",104701001,103701001,0,0,0
20033,"Jun & Matsuri",104701001,100501001,0,0,0
20034,"Christina & Tomo",107101001,103701001,0,0,0
20035,"Christina & Matsuri",107101001,100501001,0,0,0
20036,"Tomo & Matsuri",103701001,100501001,0,0,0
20037,"Saren & Ayane",102801001,102301001,0,0,0
20038,"Saren & Kurumi",102801001,102101001,0,0,0
20039,"Suzume & Ayane",102501001,102301001,0,0,0
20040,"Suzume & Kurumi",102501001,102101001,0,0,0
20041,"Ayane & Kurumi",102301001,102101001,0,0,0
20042,"Maho & Makoto",101001001,104301001,0,0,0
20043,"Maho & Kasumi",101001001,101401001,0,0,0
20044,"Maho & Kaori",101001001,101701001,0,0,0
20045,"Makoto & Kasumi",104301001,101401001,0,0,0
20046,"Makoto & Kaori",104301001,101701001,0,0,0
20047,"Kasumi & Kaori",101401001,101701001,0,0,0
20048,"Mahiru & Lima",103301001,105201001,0,0,0
20049,"Mahiru & Shiori",103301001,103801001,0,0,0
20050,"Mahiru & Rin",103301001,102601001,0,0,0
20051,"Lima & Shiori",105201001,103801001,0,0,0
20052,"Lima & Rin",105201001,102601001,0,0,0
20053,"Shiori & Rin",103801001,102601001,0,0,0
20054,"Akino & Mifuyu",103201001,104801001,0,0,0
