id,wave_group_id,odds,enemy_id_1,drop_gold_1,drop_reward_id_1,enemy_id_2,drop_gold_2,drop_reward_id_2,enemy_id_3,drop_gold_3,drop_reward_id_3,enemy_id_4,drop_gold_4,drop_reward_id_4,enemy_id_5,drop_gold_5,drop_reward_id_5
100000001,512000021,100,100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000002,512000022,100,100000001,0,0,100000001,0,0,100000002,0,0,0,0,0,0,0,0
101000001,110010011,100,101010101,255,11001011,101010101,0,11999091,0,0,0,0,0,0,0,0,0
101000002,110010012,100,101010101,255,11001012,101010102,0,11999092,0,0,0,0,0,0,0,0,0
101000003,110010013,100,101010104,255,11001013,101010103,0,11999093,101010102,0,11999101,0,0,0,0,0,0
101000004,110010021,100,101010203,261,11001021,101010203,0,11999091,0,0,0,0,0,0,0,0,0
101000005,110010022,100,101010201,261,11001022,101010201,0,11999092,101010202,0,0,0,0,0,0,0,0
101000006,110010023,100,101010202,261,11001023,101010203,0,11999093,101010203,0,11999102,101010202,0,0,0,0,0
101000007,110010031,100,101010302,266,11001031,101010302,0,11999091,0,0,0,0,0,0,0,0,0
101000008,110010032,100,101010301,266,11001032,101010301,0,11999092,101010302,0,0,0,0,0,0,0,0
101000009,110010033,100,101010304,266,11001033,101010303,0,11999093,101010303,0,11999103,0,0,0,0,0,0
101000010,110010041,100,101010404,270,11001041,101010402,0,11999091,0,0,0,0,0,0,0,0,0
101000011,110010042,100,101010402,270,11001042,101010403,0,11999092,0,0,0,0,0,0,0,0,0
101000012,110010043,100,101010404,270,11001043,101010403,0,11999093,101010402,0,11999101,0,0,0,0,0,0
101000013,110010051,100,101010504,270,11001051,101010504,0,11999091,0,0,0,0,0,0,0,0,0
101000014,110010052,100,101010501,270,11001052,101010503,0,11999092,101010502,0,0,0,0,0,0,0,0
101000015,110010053,100,101010503,270,11001053,101010504,0,11999093,101010504,0,11999102,101010505,0,0,0,0,0
101000016,110010061,100,101010604,276,11001061,101010602,0,11999091,0,0,0,0,0,0,0,0,0
101000017,110010062,100,101010604,276,11001062,101010606,0,11999092,101010602,0,0,0,0,0,0,0,0
101000018,110010063,100,101010606,276,11001063,101010605,0,11999093,101010601,0,11999103,0,0,0,0,0,0
101000019,110010071,100,101010702,281,11001071,101010702,0,11999091,101010703,0,0,0,0,0,0,0,0
101000020,110010072,100,101010702,281,11001072,101010705,0,11999092,101010701,0,0,0,0,0,0,0,0
101000021,110010073,100,101010706,281,11001073,101010705,0,11999093,101010705,0,11999101,101010704,0,0,0,0,0
101000022,110010081,100,101010801,281,11001081,101010801,0,11999091,101010804,0,0,0,0,0,0,0,0
101000023,110010082,100,101010802,281,11001082,101010801,0,11999092,101010803,0,0,0,0,0,0,0,0
101000024,110010083,100,101010805,281,11001083,101010804,0,11999093,101010804,0,11999102,0,0,0,0,0,0
101000025,110010091,100,101010904,285,11001091,101010902,0,11999091,101010901,0,0,0,0,0,0,0,0
101000026,110010092,100,101010902,285,11001092,101010903,0,11999092,101010901,0,0,0,0,0,0,0,0
101000027,110010093,100,101010906,285,11001093,101010905,0,11999093,101010902,0,11999103,101010904,0,0,0,0,0
101000028,110010101,100,101011006,291,11001101,101011006,0,11999091,101011003,0,11999093,0,0,0,0,0,0
